Trial	Proposer_ID	Offer	Anger
1	computer	11	1
2	PRP1	10	1
3	PRP1	9	1
4	computer	10	1
5	PRP2	9	1
6	computer	3	2
7	PRP2	10	1
8	PRP3	2	1
9	computer	2	2
10	PRP4	3	1
11	computer	4	2
12	PRP3	11	1
13	PRP5	2	1
14	computer	11	1
15	PRP2	4	1
16	computer	9	1
17	computer	1	2
18	PRP4	1	1
19	PRP3	4	1
20	PRP5	4	1
21	PRP3	10	1
22	PRP6	11	1
23	PRP6	10	1
24	PPR5	1	1
25	PRP5	3	1
26	computer	8	1
27	computer	3	2
28	PRP6	9	1
29	PRP4	4	1
30	PRP4	2	1
31	computer	8	1
32	PRP2	3	1
33	PRP1	11	1
34	computer	2	2
35	PRP6	8	1
36	PRP1	8	1
