Trial	Proposer_ID	Offer	Anger
1	PRP1	10	1
2	PRP2	8	1
3	PRP3	3	2
4	PRP4	2	2
5	PRP1	9	1
6	PRP2	10	1
7	PRP5	2	2
8	computer	11	1
9	PRP4	1	2
10	computer	9	1
11	computer	8	1
12	computer	11	1
13	computer	10	1
14	computer	4	1
15	PRP3	1	2
16	computer	4	1
17	computer	3	2
18	PRP1	8	1
19	PRP3	4	1
20	PRP5	4	1
21	PRP2	11	1
22	PRP2	9	1
23	PRP6	10	1
24	computer	1	2
25	PRP6	11	1
26	PRP4	3	1
27	PRP5	11	1
28	computer	3	2
29	computer	10	1
30	PRP6	3	2
31	computer	2	2
32	PRP5	8	1
33	PRP3	2	2
34	PRP1	11	1
35	PRP6	4	1
36	PRP4	4	1
