Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	computer	8	1
3	PRP2	1	3
4	PRP3	1	1
5	PRP4	9	1
6	computer	9	1
7	computer	11	1
8	PRP2	10	3
9	PRP5	4	4
10	computer	4	1
11	PRP4	11	1
12	PRP5	2	4
13	PRP5	1	4
14	PRP4	8	1
15	computer	2	1
16	PRP1	8	1
17	PRP2	9	3
18	computer	4	1
19	PRP6	10	1
20	computer	11	1
21	PRP2	4	3
22	computer	3	1
23	PRP3	2	1
24	computer	10	1
25	PRP6	3	1
26	PRP6	1	2
27	computer	2	1
28	computer	9	1
29	PRP1	10	1
30	PRP5	3	4
31	PRP4	10	1
32	PRP6	9	1
33	PRP3	4	1
34	computer	1	1
35	PRP1	11	1
36	PRP3	3	1
