Trial	Proposer_ID	Offer	Anger
1	computer	1	2
2	computer	8	1
3	PRP1	3	1
4	PRP2	1	1
5	PRP2	2	1
6	computer	9	1
7	PRP3	9	1
8	PRP4	11	1
9	PRP1	2	1
10	computer	2	1
11	PRP1	1	1
12	computer	3	1
13	PRP5	4	1
14	PRP4	9	1
15	computer	8	1
16	PRP2	4	1
17	PRP6	10	1
18	PRP6	11	1
19	PRP3	11	1
20	PRP1	4	1
21	PRP6	4	1
22	PRP2	3	1
23	PRP5	10	1
24	computer	10	1
25	computer	2	1
26	PRP5	3	1
27	computer	4	1
28	computer	2	1
29	PRP4	8	1
30	PRP3	8	1
31	computer	9	1
32	PRP3	10	1
33	computer	11	1
34	PRP6	1	1
35	PRP4	10	1
36	PRP5	8	1
