Trial	Proposer_ID	Offer	Anger
1	PRP1	11	1
2	PRP2	8	1
3	computer	8	1
4	PRP1	2	1
5	PRP2	11	1
6	computer	11	1
7	computer	10	1
8	PRP1	3	1
9	PRP3	8	1
10	computer	1	1
11	computer	2	1
12	PRP4	2	2
13	PRP3	11	1
14	PRP3	2	1
15	PRP5	11	1
16	computer	3	1
17	PRP1	10	1
18	PRP4	3	2
19	computer	4	1
20	PRP4	4	1
21	PRP5	8	1
22	PRP6	3	2
23	PRP6	2	3
24	PRP2	10	1
25	computer	10	1
26	PRP5	10	1
27	computer	9	1
28	PRP2	9	1
29	computer	4	1
30	PRP5	9	1
31	PRP6	4	2
32	PRP3	3	1
33	computer	8	1
34	computer	4	1
35	PRP4	1	2
36	PRP6	1	3
