Trial	Proposer_ID	Offer	Anger
1	computer	10	1
2	computer	11	1
3	PRP1	8	1
4	PRP1	9	1
5	PRP2	1	3
6	computer	10	1
7	computer	4	1
8	PRP3	9	1
9	computer	1	3
10	PRP4	9	1
11	PRP3	8	1
12	computer	2	2
13	PRP5	4	1
14	PRP2	2	3
15	PRP6	11	1
16	PRP1	10	1
17	computer	9	1
18	PRP2	4	1
19	computer	10	1
20	PRP6	2	1
21	PRP2	3	2
22	computer	3	1
23	PRP6	9	1
24	PRP5	2	2
25	PRP6	3	1
26	computer	2	2
27	PRP4	1	3
28	PRP1	11	1
29	PRP3	10	1
30	computer	8	1
31	PRP5	1	1
32	computer	3	1
33	PRP4	8	1
34	PRP3	11	1
35	PRP4	2	2
36	PRP5	3	1
