IBI	days_since_instruction	weekly_in_lab_sessions_completed	session_start_time
681	1	2	18:44:05
636	1	2	18:44:05
609	1	2	18:44:05
646	1	2	18:44:05
617	1	2	18:44:05
657	1	2	18:44:05
636	1	2	18:44:05
620	1	2	18:44:05
633	1	2	18:44:05
590	1	2	18:44:05
641	1	2	18:44:05
611	1	2	18:44:05
625	1	2	18:44:05
633	1	2	18:44:05
582	1	2	18:44:05
598	1	2	18:44:05
617	1	2	18:44:05
576	1	2	18:44:05
641	1	2	18:44:05
601	1	2	18:44:05
587	1	2	18:44:05
611	1	2	18:44:05
606	1	2	18:44:05
638	1	2	18:44:05
622	1	2	18:44:05
620	1	2	18:44:05
601	1	2	18:44:05
595	1	2	18:44:05
628	1	2	18:44:05
625	1	2	18:44:05
611	1	2	18:44:05
617	1	2	18:44:05
622	1	2	18:44:05
611	1	2	18:44:05
657	1	2	18:44:05
641	1	2	18:44:05
568	1	2	18:44:05
614	1	2	18:44:05
611	1	2	18:44:05
663	1	2	18:44:05
598	1	2	18:44:05
622	1	2	18:44:05
611	1	2	18:44:05
595	1	2	18:44:05
649	1	2	18:44:05
574	1	2	18:44:05
614	1	2	18:44:05
630	1	2	18:44:05
622	1	2	18:44:05
636	1	2	18:44:05
611	1	2	18:44:05
582	1	2	18:44:05
679	1	2	18:44:05
576	1	2	18:44:05
630	1	2	18:44:05
601	1	2	18:44:05
614	1	2	18:44:05
620	1	2	18:44:05
609	1	2	18:44:05
617	1	2	18:44:05
622	1	2	18:44:05
609	1	2	18:44:05
622	1	2	18:44:05
617	1	2	18:44:05
609	1	2	18:44:05
638	1	2	18:44:05
571	1	2	18:44:05
606	1	2	18:44:05
652	1	2	18:44:05
609	1	2	18:44:05
625	1	2	18:44:05
593	1	2	18:44:05
614	1	2	18:44:05
614	1	2	18:44:05
601	1	2	18:44:05
655	1	2	18:44:05
547	1	2	18:44:05
603	1	2	18:44:05
633	1	2	18:44:05
595	1	2	18:44:05
617	1	2	18:44:05
641	1	2	18:44:05
603	1	2	18:44:05
628	1	2	18:44:05
625	1	2	18:44:05
630	1	2	18:44:05
603	1	2	18:44:05
609	1	2	18:44:05
630	1	2	18:44:05
622	1	2	18:44:05
611	1	2	18:44:05
614	1	2	18:44:05
603	1	2	18:44:05
620	1	2	18:44:05
582	1	2	18:44:05
587	1	2	18:44:05
614	1	2	18:44:05
576	1	2	18:44:05
579	1	2	18:44:05
601	1	2	18:44:05
574	1	2	18:44:05
655	1	2	18:44:05
555	1	2	18:44:05
611	1	2	18:44:05
582	1	2	18:44:05
622	1	2	18:44:05
582	1	2	18:44:05
568	1	2	18:44:05
611	1	2	18:44:05
566	1	2	18:44:05
609	1	2	18:44:05
593	1	2	18:44:05
574	1	2	18:44:05
593	1	2	18:44:05
568	1	2	18:44:05
606	1	2	18:44:05
566	1	2	18:44:05
593	1	2	18:44:05
574	1	2	18:44:05
576	1	2	18:44:05
598	1	2	18:44:05
560	1	2	18:44:05
582	1	2	18:44:05
606	1	2	18:44:05
579	1	2	18:44:05
593	1	2	18:44:05
603	1	2	18:44:05
579	1	2	18:44:05
568	1	2	18:44:05
593	1	2	18:44:05
584	1	2	18:44:05
598	1	2	18:44:05
606	1	2	18:44:05
593	1	2	18:44:05
620	1	2	18:44:05
660	1	2	18:44:05
606	1	2	18:44:05
628	1	2	18:44:05
622	1	2	18:44:05
601	1	2	18:44:05
628	1	2	18:44:05
598	1	2	18:44:05
625	1	2	18:44:05
603	1	2	18:44:05
563	1	2	18:44:05
660	1	2	18:44:05
584	1	2	18:44:05
590	1	2	18:44:05
590	1	2	18:44:05
582	1	2	18:44:05
617	1	2	18:44:05
555	1	2	18:44:05
593	1	2	18:44:05
609	1	2	18:44:05
606	1	2	18:44:05
582	1	2	18:44:05
587	1	2	18:44:05
641	1	2	18:44:05
655	1	2	18:44:05
576	1	2	18:44:05
641	1	2	18:44:05
625	1	2	18:44:05
609	1	2	18:44:05
601	1	2	18:44:05
587	1	2	18:44:05
641	1	2	18:44:05
555	1	2	18:44:05
636	1	2	18:44:05
579	1	2	18:44:05
595	1	2	18:44:05
620	1	2	18:44:05
582	1	2	18:44:05
611	1	2	18:44:05
641	1	2	18:44:05
593	1	2	18:44:05
611	1	2	18:44:05
595	1	2	18:44:05
622	1	2	18:44:05
617	1	2	18:44:05
595	1	2	18:44:05
603	1	2	18:44:05
582	1	2	18:44:05
617	1	2	18:44:05
606	1	2	18:44:05
549	1	2	18:44:05
601	1	2	18:44:05
595	1	2	18:44:05
611	1	2	18:44:05
587	1	2	18:44:05
579	1	2	18:44:05
641	1	2	18:44:05
606	1	2	18:44:05
598	1	2	18:44:05
598	1	2	18:44:05
617	1	2	18:44:05
614	1	2	18:44:05
571	1	2	18:44:05
582	1	2	18:44:05
603	1	2	18:44:05
571	1	2	18:44:05
579	1	2	18:44:05
568	1	2	18:44:05
609	1	2	18:44:05
617	1	2	18:44:05
595	1	2	18:44:05
606	1	2	18:44:05
576	1	2	18:44:05
638	1	2	18:44:05
566	1	2	18:44:05
568	1	2	18:44:05
593	1	2	18:44:05
566	1	2	18:44:05
603	1	2	18:44:05
558	1	2	18:44:05
601	1	2	18:44:05
603	1	2	18:44:05
533	1	2	18:44:05
644	1	2	18:44:05
587	1	2	18:44:05
593	1	2	18:44:05
606	1	2	18:44:05
582	1	2	18:44:05
568	1	2	18:44:05
568	1	2	18:44:05
601	1	2	18:44:05
584	1	2	18:44:05
606	1	2	18:44:05
566	1	2	18:44:05
595	1	2	18:44:05
649	1	2	18:44:05
595	1	2	18:44:05
611	1	2	18:44:05
603	1	2	18:44:05
614	1	2	18:44:05
606	1	2	18:44:05
590	1	2	18:44:05
598	1	2	18:44:05
595	1	2	18:44:05
552	1	2	18:44:05
590	1	2	18:44:05
563	1	2	18:44:05
576	1	2	18:44:05
563	1	2	18:44:05
549	1	2	18:44:05
593	1	2	18:44:05
549	1	2	18:44:05
560	1	2	18:44:05
563	1	2	18:44:05
587	1	2	18:44:05
563	1	2	18:44:05
506	1	2	18:44:05
611	1	2	18:44:05
533	1	2	18:44:05
582	1	2	18:44:05
539	1	2	18:44:05
568	1	2	18:44:05
531	1	2	18:44:05
587	1	2	18:44:05
528	1	2	18:44:05
574	1	2	18:44:05
531	1	2	18:44:05
552	1	2	18:44:05
587	1	2	18:44:05
525	1	2	18:44:05
558	1	2	18:44:05
549	1	2	18:44:05
560	1	2	18:44:05
531	1	2	18:44:05
552	1	2	18:44:05
544	1	2	18:44:05
547	1	2	18:44:05
641	1	2	18:44:05
579	1	2	18:44:05
576	1	2	18:44:05
609	1	2	18:44:05
539	1	2	18:44:05
547	1	2	18:44:05
563	1	2	18:44:05
555	1	2	18:44:05
568	1	2	18:44:05
614	1	2	18:44:05
560	1	2	18:44:05
584	1	2	18:44:05
579	1	2	18:44:05
606	1	2	18:44:05
593	1	2	18:44:05
574	1	2	18:44:05
601	1	2	18:44:05
638	1	2	18:44:05
579	1	2	18:44:05
622	1	2	18:44:05
595	1	2	18:44:05
614	1	2	18:44:05
622	1	2	18:44:05
574	1	2	18:44:05
628	1	2	18:44:05
603	1	2	18:44:05
622	1	2	18:44:05
603	1	2	18:44:05
601	1	2	18:44:05
601	1	2	18:44:05
606	1	2	18:44:05
617	1	2	18:44:05
603	1	2	18:44:05
549	1	2	18:44:05
628	1	2	18:44:05
590	1	2	18:44:05
609	1	2	18:44:05
617	1	2	18:44:05
576	1	2	18:44:05
606	1	2	18:44:05
593	1	2	18:44:05
644	1	2	18:44:05
617	1	2	18:44:05
