Trial	Proposer_ID	Offer	Anger
1	PRP1	10	1
2	PRP2	9	1
3	computer	10	1
4	computer	2	1
5	PRP3	9	1
6	PRP4	1	2
7	PRP5	1	1
8	PRP3	8	1
9	computer	2	1
10	PRP6	4	2
11	computer	4	1
12	PRP6	2	2
13	PRP4	3	2
14	PRP3	10	1
15	computer	9	1
16	computer	3	1
17	computer	8	1
18	PRP2	3	2
19	PRP4	4	2
20	computer	1	1
21	PRP1	9	1
22	PRP3	11	1
23	computer	9	1
24	PRP5	3	1
25	PRP6	8	1
26	PRP5	2	1
27	PRP2	1	2
28	PRP1	11	1
29	PRP5	4	1
30	PRP2	11	1
31	PRP1	8	1
32	computer	8	1
33	PRP4	2	2
34	computer	2	1
35	PRP6	10	1
36	computer	11	1
