Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	PRP2	10	1
3	PRP3	2	5
4	PRP3	4	5
5	PRP4	9	1
6	PRP2	8	1
7	PRP1	8	1
8	computer	9	1
9	PRP5	2	5
10	computer	1	5
11	PRP4	2	4
12	PRP5	4	4
13	PRP4	1	5
14	computer	11	1
15	PRP5	1	5
16	PRP3	3	5
17	PRP1	11	1
18	PRP1	10	1
19	PRP6	9	1
20	computer	8	1
21	computer	2	5
22	computer	3	5
23	PRP5	3	5
24	computer	3	5
25	PRP6	11	1
26	computer	11	1
27	PRP2	2	3
28	computer	10	1
29	PRP3	1	5
30	PRP2	1	5
31	computer	4	4
32	PRP6	8	1
33	PRP4	11	1
34	computer	1	5
35	PRP6	10	1
36	computer	10	1
