Trial	Proposer_ID	Offer	Anger
1	computer	8	1
2	PRP1	2	2
3	PRP2	10	1
4	computer	9	1
5	PRP3	10	1
6	computer	3	2
7	computer	10	1
8	PRP3	3	2
9	PRP4	8	1
10	computer	9	1
11	PRP1	4	2
12	PRP3	8	1
13	computer	1	1
14	computer	1	1
15	PRP2	1	2
16	computer	1	1
17	PRP4	9	1
18	computer	3	1
19	PRP5	9	1
20	computer	8	1
21	PRP6	2	2
22	computer	2	1
23	PRP5	1	2
24	computer	8	1
25	computer	9	1
26	PRP5	11	1
27	PRP2	3	2
28	PRP6	1	3
29	computer	4	1
30	computer	2	1
31	PRP1	8	1
32	computer	11	1
33	computer	10	1
34	computer	2	1
35	PRP4	2	2
36	PRP6	9	1
