Trial	Proposer_ID	Offer	Anger
1	computer	11	1
2	PRP1	8	1
3	PRP2	3	1
4	computer	10	1
5	PRP3	1	1
6	computer	10	1
7	computer	3	1
8	computer	9	1
9	PRP4	1	3
10	PRP5	9	1
11	computer	2	1
12	computer	8	1
13	computer	8	1
14	PRP4	8	1
15	computer	4	1
16	computer	1	1
17	computer	9	1
18	PRP4	2	1
19	computer	3	1
20	computer	2	1
21	PRP2	2	1
22	computer	8	1
23	PRP5	10	1
24	PRP5	2	1
25	PRP6	8	1
26	PRP6	4	1
27	PRP6	1	1
28	PRP3	10	1
29	computer	2	1
30	PRP1	11	1
31	computer	9	1
32	computer	1	1
33	PRP3	9	1
34	PRP2	9	1
35	computer	1	1
36	PRP1	3	2
