Trial	Proposer_ID	Offer	Anger
1	computer	2	1
2	PRP1	2	1
3	PRP2	9	2
4	computer	3	3
5	PRP3	8	1
6	PRP2	10	2
7	computer	1	2
8	computer	8	3
9	computer	10	2
10	PRP4	11	1
11	PRP3	4	2
12	PRP5	1	1
13	computer	2	2
14	PRP6	8	1
15	computer	8	2
16	PRP1	1	1
17	computer	2	2
18	PRP6	9	1
19	computer	1	2
20	PRP3	3	1
21	PRP6	3	2
22	computer	8	3
23	PRP4	2	2
24	PRP5	8	2
25	computer	9	2
26	computer	9	2
27	computer	11	2
28	PRP5	2	1
29	PRP2	1	2
30	computer	4	2
31	computer	9	2
32	PRP4	10	3
33	computer	1	1
34	PRP1	9	2
35	computer	10	2
36	computer	3	2
