Trial	Proposer_ID	Offer	Anger
1	computer	11	1
2	PRP1	10	1
3	computer	8	1
4	computer	2	3
5	computer	2	3
6	PRP2	10	1
7	PRP2	11	1
8	computer	11	1
9	PRP3	8	1
10	PRP3	10	1
11	computer	4	3
12	computer	10	1
13	PRP4	1	3
14	computer	11	1
15	PRP1	8	2
16	PRP5	4	3
17	computer	3	3
18	PRP2	8	1
19	PRP3	11	1
20	PRP4	2	3
21	computer	9	1
22	PRP4	9	1
23	PRP1	1	3
24	PRP1	3	3
25	PRP6	1	3
26	PRP6	2	3
27	PRP6	4	3
28	PRP2	9	1
29	PRP3	9	1
30	PRP6	3	3
31	PRP4	11	1
32	PRP5	3	3
33	PRP5	1	3
34	computer	1	3
35	computer	2	3
36	PRP5	2	3
