Trial	Proposer_ID	Offer	Anger
1	computer	2	1
2	PRP1	10	1
3	PRP2	11	1
4	computer	11	1
5	computer	4	1
6	PRP3	2	1
7	PRP3	4	1
8	computer	1	1
9	PRP3	1	1
10	PRP4	8	1
11	computer	8	1
12	computer	3	1
13	PRP2	8	1
14	PRP5	10	1
15	PRP2	4	1
16	computer	3	1
17	PRP6	2	1
18	PRP1	3	1
19	PRP1	2	1
20	computer	11	1
21	computer	1	1
22	PRP6	4	1
23	PRP6	3	1
24	computer	10	1
25	PRP5	8	1
26	computer	11	1
27	PRP5	9	1
28	PRP4	10	1
29	computer	9	1
30	PRP4	11	1
31	PRP6	1	1
32	PRP2	3	1
33	PRP5	11	1
34	PRP3	3	1
35	PRP4	9	1
36	PRP1	8	1
