ibi	time	condition	order
894	pre	baseline	1
999	pre	baseline	1
1067	pre	baseline	1
913	pre	baseline	1
792	pre	baseline	1
835	pre	baseline	1
978	pre	baseline	1
1091	pre	baseline	1
1075	pre	baseline	1
948	pre	baseline	1
876	pre	baseline	1
951	pre	baseline	1
1229	pre	baseline	1
1150	pre	baseline	1
951	pre	baseline	1
884	pre	baseline	1
1005	pre	baseline	1
1204	pre	baseline	1
1150	pre	baseline	1
900	pre	baseline	1
973	pre	baseline	1
1118	pre	baseline	1
795	pre	baseline	1
544	pre	baseline	1
558	pre	baseline	1
902	pre	baseline	1
989	pre	baseline	1
967	pre	baseline	1
819	pre	baseline	1
892	pre	baseline	1
1096	pre	baseline	1
1212	pre	baseline	1
1132	pre	baseline	1
843	pre	baseline	1
390	pre	baseline	1
595	pre	baseline	1
973	pre	baseline	1
946	pre	baseline	1
787	pre	baseline	1
897	pre	baseline	1
927	pre	baseline	1
824	pre	baseline	1
843	pre	baseline	1
819	pre	baseline	1
878	pre	baseline	1
752	pre	baseline	1
773	pre	baseline	1
816	pre	baseline	1
805	pre	baseline	1
870	pre	baseline	1
1016	pre	baseline	1
911	pre	baseline	1
878	pre	baseline	1
943	pre	baseline	1
973	pre	baseline	1
849	pre	baseline	1
851	pre	baseline	1
967	pre	baseline	1
962	pre	baseline	1
849	pre	baseline	1
881	pre	baseline	1
940	pre	baseline	1
997	pre	baseline	1
827	pre	baseline	1
929	pre	baseline	1
983	pre	baseline	1
1032	pre	baseline	1
865	pre	baseline	1
727	pre	baseline	1
967	pre	baseline	1
964	pre	baseline	1
978	pre	baseline	1
948	pre	baseline	1
676	pre	baseline	1
506	pre	baseline	1
531	pre	baseline	1
1048	pre	baseline	1
1032	pre	baseline	1
830	pre	baseline	1
902	pre	baseline	1
509	pre	baseline	1
1522	pre	baseline	1
824	pre	baseline	1
916	pre	baseline	1
954	pre	baseline	1
981	pre	baseline	1
819	pre	baseline	1
916	pre	baseline	1
951	pre	baseline	1
967	pre	baseline	1
787	pre	baseline	1
862	pre	baseline	1
916	pre	baseline	1
967	pre	baseline	1
805	pre	baseline	1
865	pre	baseline	1
924	pre	baseline	1
975	pre	baseline	1
814	pre	baseline	1
886	pre	baseline	1
878	pre	baseline	1
929	pre	baseline	1
886	pre	baseline	1
770	pre	baseline	1
873	pre	baseline	1
975	pre	baseline	1
964	pre	baseline	1
830	pre	baseline	1
897	pre	baseline	1
921	pre	baseline	1
948	pre	baseline	1
800	pre	baseline	1
840	pre	baseline	1
956	pre	baseline	1
873	pre	baseline	1
886	pre	baseline	1
827	pre	baseline	1
846	pre	baseline	1
956	pre	baseline	1
932	pre	baseline	1
776	pre	baseline	1
881	pre	baseline	1
989	pre	baseline	1
805	pre	baseline	1
814	pre	baseline	1
908	pre	baseline	1
1013	pre	baseline	1
919	pre	baseline	1
935	pre	baseline	1
725	pre	baseline	1
722	pre	baseline	1
884	pre	baseline	1
752	pre	baseline	1
749	pre	baseline	1
784	pre	baseline	1
876	pre	baseline	1
867	pre	baseline	1
800	pre	baseline	1
911	pre	baseline	1
865	pre	baseline	1
867	pre	baseline	1
784	pre	baseline	1
722	pre	baseline	1
749	pre	baseline	1
692	pre	baseline	1
884	pre	baseline	1
927	pre	baseline	1
943	pre	baseline	1
803	pre	baseline	1
846	pre	baseline	1
973	pre	baseline	1
997	pre	baseline	1
822	pre	baseline	1
932	pre	baseline	1
983	pre	baseline	1
921	pre	baseline	1
851	pre	baseline	1
940	pre	baseline	1
1018	pre	baseline	1
881	pre	baseline	1
1016	pre	baseline	1
1086	pre	baseline	1
916	pre	baseline	1
854	pre	baseline	1
606	pre	baseline	1
240	pre	baseline	1
1037	pre	baseline	1
814	pre	baseline	1
902	pre	baseline	1
999	pre	baseline	1
911	pre	baseline	1
854	pre	baseline	1
911	pre	baseline	1
978	pre	baseline	1
819	pre	baseline	1
894	pre	baseline	1
956	pre	baseline	1
902	pre	baseline	1
854	pre	baseline	1
962	pre	baseline	1
1202	pre	baseline	1
854	pre	baseline	1
908	pre	baseline	1
924	pre	baseline	1
962	pre	baseline	1
846	pre	baseline	1
876	pre	baseline	1
924	pre	baseline	1
897	pre	baseline	1
792	pre	baseline	1
835	pre	baseline	1
940	pre	baseline	1
921	pre	baseline	1
840	pre	baseline	1
913	pre	baseline	1
970	pre	baseline	1
884	pre	baseline	1
840	pre	baseline	1
927	pre	baseline	1
959	pre	baseline	1
897	pre	baseline	1
814	pre	baseline	1
857	pre	baseline	1
924	pre	baseline	1
943	pre	baseline	1
792	pre	baseline	1
876	pre	baseline	1
911	pre	baseline	1
924	pre	baseline	1
814	pre	baseline	1
846	pre	baseline	1
886	pre	baseline	1
919	pre	baseline	1
800	pre	baseline	1
827	pre	baseline	1
894	pre	baseline	1
973	pre	baseline	1
822	pre	baseline	1
876	pre	baseline	1
959	pre	baseline	1
911	pre	baseline	1
827	pre	baseline	1
814	pre	baseline	1
824	pre	baseline	1
878	pre	baseline	1
884	pre	baseline	1
797	pre	baseline	1
902	pre	baseline	1
970	pre	baseline	1
962	pre	baseline	1
824	pre	baseline	1
902	pre	baseline	1
908	pre	baseline	1
905	pre	baseline	1
792	pre	baseline	1
857	pre	baseline	1
959	pre	baseline	1
916	pre	baseline	1
805	pre	baseline	1
862	pre	baseline	1
886	pre	baseline	1
929	pre	baseline	1
792	pre	baseline	1
873	pre	baseline	1
951	pre	baseline	1
927	pre	baseline	1
835	pre	baseline	1
908	pre	baseline	1
967	pre	baseline	1
843	pre	baseline	1
827	pre	baseline	1
867	pre	baseline	1
865	pre	baseline	1
814	pre	baseline	1
862	pre	baseline	1
916	pre	baseline	1
983	pre	baseline	1
795	pre	baseline	1
886	pre	baseline	1
991	pre	baseline	1
1223	pre	baseline	1
1320	pre	baseline	1
814	pre	baseline	1
741	pre	baseline	1
703	pre	baseline	1
835	pre	baseline	1
633	pre	baseline	1
754	pre	baseline	1
730	pre	baseline	1
714	pre	baseline	1
727	pre	baseline	1
743	pre	baseline	1
824	pre	baseline	1
593	pre	baseline	1
1043	pre	baseline	1
781	pre	baseline	1
