Trial	Proposer_ID	Offer	Anger
1	PRP1	11	1
2	PRP2	2	2
3	computer	1	1
4	PRP1	1	1
5	computer	10	1
6	PRP3	10	1
7	PRP4	4	1
8	PRP5	9	1
9	PRP6	8	1
10	PRP4	1	1
11	PRP4	3	1
12	computer	9	1
13	computer	11	1
14	PRP3	9	1
15	computer	10	1
16	PRP2	4	1
17	PRP6	10	1
18	PRP1	9	1
19	PRP5	1	2
20	PRP3	8	1
21	PRP2	1	2
22	PRP2	3	2
23	computer	8	1
24	PRP1	2	2
25	PRP6	9	1
26	PRP5	2	1
27	computer	3	1
28	PRP5	8	1
29	PRP6	11	1
30	computer	8	1
31	computer	2	1
32	computer	3	1
33	computer	1	1
34	computer	4	1
35	PRP4	2	2
36	PRP3	11	1
