Trial	Proposer_ID	Offer	Anger
1	computer	2	1
2	PRP1	3	1
3	computer	9	1
4	PRP2	11	1
5	PRP3	9	1
6	computer	11	1
7	computer	8	1
8	PRP4	9	1
9	PRP5	3	1
10	computer	4	1
11	PRP3	1	1
12	computer	8	1
13	PRP6	8	1
14	PRP1	1	1
15	computer	1	1
16	PRP5	2	1
17	PRP5	4	1
18	PRP5	1	1
19	PRP3	3	1
20	computer	4	1
21	PRP6	11	1
22	PRP2	9	1
23	PRP1	4	1
24	PRP6	9	1
25	PRP6	10	1
26	computer	1	1
27	PRP4	4	1
28	PRP3	8	1
29	PRP4	10	1
30	PRP4	1	1
31	PRP1	2	1
32	computer	8	1
33	computer	3	1
34	PRP2	8	1
35	PRP2	10	1
36	computer	10	1
