Trial	Proposer_ID	Offer	Anger
1	PRP1	3	1
2	computer	11	1
3	PRP2	9	1
4	PRP2	4	1
5	PRP1	10	1
6	PRP3	8	1
7	computer	2	1
8	computer	8	1
9	PRP1	8	1
10	computer	8	1
11	computer	9	1
12	computer	2	1
13	computer	3	1
14	PRP4	1	2
15	PRP3	11	1
16	PRP4	9	1
17	computer	3	1
18	computer	2	1
19	PRP5	1	2
20	computer	9	1
21	computer	10	1
22	computer	8	1
23	PRP2	2	1
24	PRP3	1	2
25	computer	9	1
26	PRP6	8	1
27	computer	1	1
28	computer	10	1
29	PRP6	2	1
30	PRP5	3	1
31	computer	4	1
32	PRP4	9	1
33	computer	1	1
34	PRP5	10	1
35	computer	1	1
36	PRP6	2	1
