Trial	Proposer_ID	Offer	Anger
1	PRP1	1	1
2	PRP2	4	1
3	PRP3	9	1
4	PRP2	2	1
5	PRP4	10	1
6	PRP3	10	1
7	computer	9	1
8	PRP1	9	1
9	PRP5	8	1
10	PRP4	11	1
11	PRP6	2	1
12	PRP2	1	1
13	PRP6	4	1
14	PRP5	4	1
15	computer	9	1
16	computer	8	1
17	computer	3	1
18	computer	1	1
19	computer	11	1
20	PRP6	3	1
21	computer	2	1
22	computer	11	1
23	PRP4	8	1
24	computer	4	1
25	PRP5	9	1
26	computer	2	1
27	computer	10	1
28	PRP1	4	1
29	PRP1	10	1
30	PRP4	9	1
31	computer	4	1
32	PRP2	3	1
33	PRP3	8	1
34	PRP3	11	1
35	PRP5	1	1
36	PRP6	1	1
