Trial	Proposer_ID	Offer	Anger
1	computer	3	3
2	PRP1	9	1
3	computer	8	1
4	computer	1	4
5	computer	9	1
6	PRP2	4	2
7	PRP3	10	1
8	computer	10	1
9	computer	2	3
10	PRP4	9	1
11	computer	11	1
12	PRP4	2	3
13	computer	8	1
14	PRP3	8	1
15	computer	9	1
16	PRP1	8	1
17	computer	10	1
18	PRP3	3	1
19	PRP5	8	2
20	computer	9	1
21	PRP6	9	1
22	computer	2	3
23	PRP5	1	3
24	computer	8	1
25	computer	2	3
26	PRP6	3	3
27	PRP4	2	3
28	computer	1	3
29	PRP2	2	3
30	PRP2	10	1
31	computer	3	2
32	PRP1	1	3
33	PRP6	11	1
34	computer	4	2
35	computer	1	3
36	PRP5	1	3
