ibi	time	condition	order
897	post	baseline	1
913	post	baseline	1
905	post	baseline	1
911	post	baseline	1
921	post	baseline	1
921	post	baseline	1
935	post	baseline	1
905	post	baseline	1
927	post	baseline	1
935	post	baseline	1
940	post	baseline	1
948	post	baseline	1
921	post	baseline	1
956	post	baseline	1
951	post	baseline	1
948	post	baseline	1
954	post	baseline	1
951	post	baseline	1
989	post	baseline	1
935	post	baseline	1
956	post	baseline	1
959	post	baseline	1
962	post	baseline	1
975	post	baseline	1
948	post	baseline	1
975	post	baseline	1
970	post	baseline	1
970	post	baseline	1
940	post	baseline	1
964	post	baseline	1
1921	post	baseline	1
940	post	baseline	1
919	post	baseline	1
900	post	baseline	1
911	post	baseline	1
894	post	baseline	1
908	post	baseline	1
919	post	baseline	1
940	post	baseline	1
940	post	baseline	1
943	post	baseline	1
964	post	baseline	1
951	post	baseline	1
954	post	baseline	1
954	post	baseline	1
973	post	baseline	1
970	post	baseline	1
989	post	baseline	1
975	post	baseline	1
978	post	baseline	1
989	post	baseline	1
1002	post	baseline	1
962	post	baseline	1
978	post	baseline	1
954	post	baseline	1
973	post	baseline	1
929	post	baseline	1
986	post	baseline	1
962	post	baseline	1
991	post	baseline	1
948	post	baseline	1
983	post	baseline	1
989	post	baseline	1
954	post	baseline	1
959	post	baseline	1
951	post	baseline	1
986	post	baseline	1
951	post	baseline	1
951	post	baseline	1
959	post	baseline	1
978	post	baseline	1
973	post	baseline	1
959	post	baseline	1
978	post	baseline	1
978	post	baseline	1
986	post	baseline	1
946	post	baseline	1
967	post	baseline	1
975	post	baseline	1
940	post	baseline	1
983	post	baseline	1
954	post	baseline	1
1002	post	baseline	1
970	post	baseline	1
959	post	baseline	1
973	post	baseline	1
964	post	baseline	1
1013	post	baseline	1
962	post	baseline	1
1013	post	baseline	1
978	post	baseline	1
1008	post	baseline	1
978	post	baseline	1
973	post	baseline	1
1010	post	baseline	1
1010	post	baseline	1
978	post	baseline	1
994	post	baseline	1
997	post	baseline	1
999	post	baseline	1
1010	post	baseline	1
981	post	baseline	1
1018	post	baseline	1
991	post	baseline	1
1008	post	baseline	1
975	post	baseline	1
997	post	baseline	1
978	post	baseline	1
956	post	baseline	1
943	post	baseline	1
956	post	baseline	1
975	post	baseline	1
948	post	baseline	1
943	post	baseline	1
946	post	baseline	1
964	post	baseline	1
970	post	baseline	1
962	post	baseline	1
962	post	baseline	1
983	post	baseline	1
956	post	baseline	1
967	post	baseline	1
956	post	baseline	1
973	post	baseline	1
962	post	baseline	1
913	post	baseline	1
956	post	baseline	1
959	post	baseline	1
991	post	baseline	1
975	post	baseline	1
975	post	baseline	1
991	post	baseline	1
981	post	baseline	1
1024	post	baseline	1
983	post	baseline	1
989	post	baseline	1
964	post	baseline	1
1064	post	baseline	1
1034	post	baseline	1
1016	post	baseline	1
1013	post	baseline	1
983	post	baseline	1
1032	post	baseline	1
1026	post	baseline	1
999	post	baseline	1
1005	post	baseline	1
1002	post	baseline	1
1013	post	baseline	1
1002	post	baseline	1
997	post	baseline	1
997	post	baseline	1
1005	post	baseline	1
967	post	baseline	1
986	post	baseline	1
983	post	baseline	1
1010	post	baseline	1
991	post	baseline	1
970	post	baseline	1
999	post	baseline	1
983	post	baseline	1
981	post	baseline	1
946	post	baseline	1
970	post	baseline	1
959	post	baseline	1
975	post	baseline	1
962	post	baseline	1
956	post	baseline	1
986	post	baseline	1
967	post	baseline	1
964	post	baseline	1
978	post	baseline	1
973	post	baseline	1
964	post	baseline	1
970	post	baseline	1
929	post	baseline	1
959	post	baseline	1
967	post	baseline	1
927	post	baseline	1
951	post	baseline	1
951	post	baseline	1
951	post	baseline	1
962	post	baseline	1
962	post	baseline	1
981	post	baseline	1
1005	post	baseline	1
946	post	baseline	1
973	post	baseline	1
997	post	baseline	1
983	post	baseline	1
981	post	baseline	1
981	post	baseline	1
978	post	baseline	1
989	post	baseline	1
1029	post	baseline	1
981	post	baseline	1
1010	post	baseline	1
1010	post	baseline	1
1005	post	baseline	1
983	post	baseline	1
981	post	baseline	1
981	post	baseline	1
989	post	baseline	1
981	post	baseline	1
973	post	baseline	1
970	post	baseline	1
991	post	baseline	1
978	post	baseline	1
967	post	baseline	1
999	post	baseline	1
981	post	baseline	1
994	post	baseline	1
997	post	baseline	1
956	post	baseline	1
967	post	baseline	1
997	post	baseline	1
1005	post	baseline	1
937	post	baseline	1
962	post	baseline	1
