ibi	time	condition	order
800	2	baseline	1
838	2	baseline	1
824	2	baseline	1
840	2	baseline	1
889	2	baseline	1
919	2	baseline	1
876	2	baseline	1
897	2	baseline	1
935	2	baseline	1
954	2	baseline	1
937	2	baseline	1
900	2	baseline	1
924	2	baseline	1
948	2	baseline	1
951	2	baseline	1
913	2	baseline	1
846	2	baseline	1
870	2	baseline	1
805	2	baseline	1
932	2	baseline	1
978	2	baseline	1
981	2	baseline	1
964	2	baseline	1
989	2	baseline	1
956	2	baseline	1
1024	2	baseline	1
1026	2	baseline	1
1051	2	baseline	1
1040	2	baseline	1
1008	2	baseline	1
962	2	baseline	1
991	2	baseline	1
948	2	baseline	1
857	2	baseline	1
878	2	baseline	1
943	2	baseline	1
978	2	baseline	1
927	2	baseline	1
997	2	baseline	1
975	2	baseline	1
940	2	baseline	1
911	2	baseline	1
981	2	baseline	1
983	2	baseline	1
948	2	baseline	1
940	2	baseline	1
967	2	baseline	1
954	2	baseline	1
962	2	baseline	1
894	2	baseline	1
924	2	baseline	1
940	2	baseline	1
924	2	baseline	1
870	2	baseline	1
924	2	baseline	1
935	2	baseline	1
932	2	baseline	1
889	2	baseline	1
956	2	baseline	1
956	2	baseline	1
959	2	baseline	1
867	2	baseline	1
911	2	baseline	1
989	2	baseline	1
636	2	baseline	1
919	2	baseline	1
792	2	baseline	1
781	2	baseline	1
881	2	baseline	1
851	2	baseline	1
814	2	baseline	1
800	2	baseline	1
867	2	baseline	1
948	2	baseline	1
803	2	baseline	1
700	2	baseline	1
822	2	baseline	1
749	2	baseline	1
937	2	baseline	1
830	2	baseline	1
706	2	baseline	1
975	2	baseline	1
943	2	baseline	1
797	2	baseline	1
919	2	baseline	1
838	2	baseline	1
881	2	baseline	1
760	2	baseline	1
805	2	baseline	1
835	2	baseline	1
835	2	baseline	1
754	2	baseline	1
800	2	baseline	1
752	2	baseline	1
843	2	baseline	1
851	2	baseline	1
870	2	baseline	1
814	2	baseline	1
800	2	baseline	1
862	2	baseline	1
892	2	baseline	1
937	2	baseline	1
937	2	baseline	1
854	2	baseline	1
876	2	baseline	1
905	2	baseline	1
919	2	baseline	1
932	2	baseline	1
1002	2	baseline	1
897	2	baseline	1
956	2	baseline	1
967	2	baseline	1
908	2	baseline	1
959	2	baseline	1
867	2	baseline	1
921	2	baseline	1
946	2	baseline	1
886	2	baseline	1
959	2	baseline	1
964	2	baseline	1
921	2	baseline	1
884	2	baseline	1
929	2	baseline	1
932	2	baseline	1
940	2	baseline	1
894	2	baseline	1
881	2	baseline	1
905	2	baseline	1
911	2	baseline	1
911	2	baseline	1
867	2	baseline	1
921	2	baseline	1
921	2	baseline	1
902	2	baseline	1
924	2	baseline	1
1369	2	baseline	1
1309	2	baseline	1
943	2	baseline	1
749	2	baseline	1
808	2	baseline	1
717	2	baseline	1
444	2	baseline	1
461	2	baseline	1
857	2	baseline	1
762	2	baseline	1
776	2	baseline	1
819	2	baseline	1
867	2	baseline	1
811	2	baseline	1
827	2	baseline	1
814	2	baseline	1
881	2	baseline	1
943	2	baseline	1
1040	2	baseline	1
954	2	baseline	1
964	2	baseline	1
1005	2	baseline	1
1034	2	baseline	1
867	2	baseline	1
973	2	baseline	1
897	2	baseline	1
946	2	baseline	1
975	2	baseline	1
919	2	baseline	1
1002	2	baseline	1
1005	2	baseline	1
1024	2	baseline	1
878	2	baseline	1
997	2	baseline	1
999	2	baseline	1
886	2	baseline	1
935	2	baseline	1
946	2	baseline	1
973	2	baseline	1
1059	2	baseline	1
873	2	baseline	1
975	2	baseline	1
959	2	baseline	1
1008	2	baseline	1
1078	2	baseline	1
948	2	baseline	1
905	2	baseline	1
975	2	baseline	1
986	2	baseline	1
997	2	baseline	1
983	2	baseline	1
997	2	baseline	1
978	2	baseline	1
981	2	baseline	1
927	2	baseline	1
986	2	baseline	1
983	2	baseline	1
964	2	baseline	1
932	2	baseline	1
981	2	baseline	1
989	2	baseline	1
1008	2	baseline	1
991	2	baseline	1
951	2	baseline	1
999	2	baseline	1
1005	2	baseline	1
978	2	baseline	1
913	2	baseline	1
964	2	baseline	1
1029	2	baseline	1
978	2	baseline	1
1029	2	baseline	1
989	2	baseline	1
1048	2	baseline	1
1061	2	baseline	1
1024	2	baseline	1
1018	2	baseline	1
1067	2	baseline	1
1021	2	baseline	1
708	2	baseline	1
215	2	baseline	1
264	2	baseline	1
800	2	baseline	1
1016	2	baseline	1
1026	2	baseline	1
1013	2	baseline	1
967	2	baseline	1
1026	2	baseline	1
1037	2	baseline	1
1018	2	baseline	1
981	2	baseline	1
1040	2	baseline	1
1048	2	baseline	1
1029	2	baseline	1
940	2	baseline	1
1002	2	baseline	1
1838	2	baseline	1
937	2	baseline	1
991	2	baseline	1
1026	2	baseline	1
1059	2	baseline	1
967	2	baseline	1
1072	2	baseline	1
1086	2	baseline	1
1075	2	baseline	1
1029	2	baseline	1
1053	2	baseline	1
1048	2	baseline	1
1053	2	baseline	1
967	2	baseline	1
1013	2	baseline	1
1010	2	baseline	1
1018	2	baseline	1
948	2	baseline	1
1005	2	baseline	1
1021	2	baseline	1
1032	2	baseline	1
975	2	baseline	1
1048	2	baseline	1
1053	2	baseline	1
1043	2	baseline	1
978	2	baseline	1
1045	2	baseline	1
1048	2	baseline	1
1051	2	baseline	1
959	2	baseline	1
1008	2	baseline	1
1043	2	baseline	1
1070	2	baseline	1
959	2	baseline	1
1024	2	baseline	1
1056	2	baseline	1
