ibi	time	condition	order
1016	pre	baseline	1
970	pre	baseline	1
970	pre	baseline	1
959	pre	baseline	1
911	pre	baseline	1
959	pre	baseline	1
991	pre	baseline	1
1016	pre	baseline	1
1043	pre	baseline	1
967	pre	baseline	1
1024	pre	baseline	1
1021	pre	baseline	1
986	pre	baseline	1
1029	pre	baseline	1
956	pre	baseline	1
959	pre	baseline	1
892	pre	baseline	1
943	pre	baseline	1
932	pre	baseline	1
1010	pre	baseline	1
946	pre	baseline	1
741	pre	baseline	1
1002	pre	baseline	1
711	pre	baseline	1
978	pre	baseline	1
752	pre	baseline	1
881	pre	baseline	1
1005	pre	baseline	1
997	pre	baseline	1
1037	pre	baseline	1
1026	pre	baseline	1
989	pre	baseline	1
999	pre	baseline	1
1072	pre	baseline	1
1048	pre	baseline	1
1034	pre	baseline	1
1034	pre	baseline	1
1096	pre	baseline	1
1008	pre	baseline	1
1207	pre	baseline	1
1016	pre	baseline	1
1010	pre	baseline	1
956	pre	baseline	1
929	pre	baseline	1
814	pre	baseline	1
900	pre	baseline	1
897	pre	baseline	1
849	pre	baseline	1
830	pre	baseline	1
450	pre	baseline	1
504	pre	baseline	1
911	pre	baseline	1
929	pre	baseline	1
989	pre	baseline	1
805	pre	baseline	1
986	pre	baseline	1
1032	pre	baseline	1
749	pre	baseline	1
978	pre	baseline	1
902	pre	baseline	1
932	pre	baseline	1
892	pre	baseline	1
940	pre	baseline	1
951	pre	baseline	1
929	pre	baseline	1
946	pre	baseline	1
943	pre	baseline	1
876	pre	baseline	1
849	pre	baseline	1
924	pre	baseline	1
940	pre	baseline	1
991	pre	baseline	1
978	pre	baseline	1
999	pre	baseline	1
951	pre	baseline	1
867	pre	baseline	1
927	pre	baseline	1
967	pre	baseline	1
1032	pre	baseline	1
805	pre	baseline	1
962	pre	baseline	1
873	pre	baseline	1
789	pre	baseline	1
830	pre	baseline	1
854	pre	baseline	1
760	pre	baseline	1
905	pre	baseline	1
830	pre	baseline	1
843	pre	baseline	1
846	pre	baseline	1
878	pre	baseline	1
913	pre	baseline	1
905	pre	baseline	1
994	pre	baseline	1
568	pre	baseline	1
493	pre	baseline	1
1274	pre	baseline	1
725	pre	baseline	1
695	pre	baseline	1
886	pre	baseline	1
663	pre	baseline	1
929	pre	baseline	1
816	pre	baseline	1
781	pre	baseline	1
770	pre	baseline	1
795	pre	baseline	1
981	pre	baseline	1
768	pre	baseline	1
873	pre	baseline	1
846	pre	baseline	1
800	pre	baseline	1
822	pre	baseline	1
859	pre	baseline	1
827	pre	baseline	1
824	pre	baseline	1
749	pre	baseline	1
824	pre	baseline	1
862	pre	baseline	1
889	pre	baseline	1
911	pre	baseline	1
911	pre	baseline	1
935	pre	baseline	1
900	pre	baseline	1
932	pre	baseline	1
905	pre	baseline	1
881	pre	baseline	1
862	pre	baseline	1
862	pre	baseline	1
870	pre	baseline	1
846	pre	baseline	1
859	pre	baseline	1
889	pre	baseline	1
946	pre	baseline	1
948	pre	baseline	1
951	pre	baseline	1
900	pre	baseline	1
924	pre	baseline	1
981	pre	baseline	1
970	pre	baseline	1
989	pre	baseline	1
973	pre	baseline	1
962	pre	baseline	1
983	pre	baseline	1
970	pre	baseline	1
956	pre	baseline	1
1026	pre	baseline	1
973	pre	baseline	1
935	pre	baseline	1
959	pre	baseline	1
913	pre	baseline	1
892	pre	baseline	1
1026	pre	baseline	1
1091	pre	baseline	1
1056	pre	baseline	1
973	pre	baseline	1
1026	pre	baseline	1
900	pre	baseline	1
937	pre	baseline	1
981	pre	baseline	1
1045	pre	baseline	1
1067	pre	baseline	1
1008	pre	baseline	1
983	pre	baseline	1
924	pre	baseline	1
900	pre	baseline	1
854	pre	baseline	1
905	pre	baseline	1
937	pre	baseline	1
989	pre	baseline	1
964	pre	baseline	1
943	pre	baseline	1
946	pre	baseline	1
978	pre	baseline	1
989	pre	baseline	1
946	pre	baseline	1
911	pre	baseline	1
927	pre	baseline	1
943	pre	baseline	1
932	pre	baseline	1
911	pre	baseline	1
862	pre	baseline	1
894	pre	baseline	1
951	pre	baseline	1
940	pre	baseline	1
927	pre	baseline	1
894	pre	baseline	1
916	pre	baseline	1
900	pre	baseline	1
884	pre	baseline	1
876	pre	baseline	1
865	pre	baseline	1
897	pre	baseline	1
954	pre	baseline	1
948	pre	baseline	1
892	pre	baseline	1
913	pre	baseline	1
964	pre	baseline	1
999	pre	baseline	1
937	pre	baseline	1
908	pre	baseline	1
908	pre	baseline	1
916	pre	baseline	1
911	pre	baseline	1
857	pre	baseline	1
884	pre	baseline	1
892	pre	baseline	1
951	pre	baseline	1
978	pre	baseline	1
897	pre	baseline	1
835	pre	baseline	1
948	pre	baseline	1
929	pre	baseline	1
911	pre	baseline	1
911	pre	baseline	1
770	pre	baseline	1
932	pre	baseline	1
816	pre	baseline	1
830	pre	baseline	1
908	pre	baseline	1
1024	pre	baseline	1
676	pre	baseline	1
1315	pre	baseline	1
1029	pre	baseline	1
1398	pre	baseline	1
655	pre	baseline	1
905	pre	baseline	1
684	pre	baseline	1
681	pre	baseline	1
506	pre	baseline	1
474	pre	baseline	1
873	pre	baseline	1
867	pre	baseline	1
857	pre	baseline	1
894	pre	baseline	1
1568	pre	baseline	1
1285	pre	baseline	1
1245	pre	baseline	1
1697	pre	baseline	1
975	pre	baseline	1
870	pre	baseline	1
1762	pre	baseline	1
967	pre	baseline	1
897	pre	baseline	1
830	pre	baseline	1
932	pre	baseline	1
1067	pre	baseline	1
927	pre	baseline	1
892	pre	baseline	1
927	pre	baseline	1
964	pre	baseline	1
956	pre	baseline	1
991	pre	baseline	1
943	pre	baseline	1
908	pre	baseline	1
913	pre	baseline	1
991	pre	baseline	1
927	pre	baseline	1
873	pre	baseline	1
859	pre	baseline	1
1034	pre	baseline	1
1010	pre	baseline	1
878	pre	baseline	1
1024	pre	baseline	1
795	pre	baseline	1
805	pre	baseline	1
838	pre	baseline	1
824	pre	baseline	1
824	pre	baseline	1
859	pre	baseline	1
846	pre	baseline	1
932	pre	baseline	1
894	pre	baseline	1
954	pre	baseline	1
929	pre	baseline	1
921	pre	baseline	1
921	pre	baseline	1
908	pre	baseline	1
946	pre	baseline	1
1010	pre	baseline	1
994	pre	baseline	1
1010	pre	baseline	1
913	pre	baseline	1
919	pre	baseline	1
964	pre	baseline	1
962	pre	baseline	1
911	pre	baseline	1
935	pre	baseline	1
919	pre	baseline	1
946	pre	baseline	1
986	pre	baseline	1
846	pre	baseline	1
956	pre	baseline	1
940	pre	baseline	1
989	pre	baseline	1
1010	pre	baseline	1
805	pre	baseline	1
900	pre	baseline	1
924	pre	baseline	1
908	pre	baseline	1
959	pre	baseline	1
951	pre	baseline	1
892	pre	baseline	1
951	pre	baseline	1
927	pre	baseline	1
932	pre	baseline	1
927	pre	baseline	1
924	pre	baseline	1
921	pre	baseline	1
921	pre	baseline	1
921	pre	baseline	1
894	pre	baseline	1
924	pre	baseline	1
975	pre	baseline	1
964	pre	baseline	1
1034	pre	baseline	1
