Trial	Proposer_ID	Offer	Anger
1	computer	3	2
2	computer	11	1
3	PRP1	3	2
4	computer	1	3
5	computer	8	1
6	computer	10	1
7	computer	9	1
8	computer	9	1
9	PRP2	8	1
10	PRP3	3	2
11	PRP3	2	2
12	PRP2	2	2
13	computer	1	3
14	PRP1	2	3
15	computer	8	1
16	PRP4	2	2
17	PRP5	9	1
18	PRP2	3	2
19	PRP3	4	2
20	PRP1	4	2
21	computer	2	2
22	PRP1	1	3
23	PRP4	11	1
24	PRP4	9	1
25	PRP5	11	1
26	computer	4	2
27	PRP6	9	1
28	PRP6	11	1
29	PRP2	11	1
30	PRP5	10	1
31	PRP3	1	3
32	computer	1	3
33	PRP6	10	1
34	PRP6	8	1
35	PRP4	4	2
36	PRP5	8	1
