Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	PRP2	2	1
3	PRP1	3	1
4	PRP3	10	1
5	PRP3	1	1
6	PRP2	8	1
7	computer	8	1
8	computer	2	1
9	PRP4	1	1
10	PRP3	8	1
11	PRP5	1	1
12	PRP6	2	1
13	computer	1	1
14	PRP2	10	1
15	computer	1	1
16	PRP6	9	1
17	computer	9	1
18	PRP4	8	1
19	computer	3	1
20	computer	11	1
21	computer	10	1
22	computer	2	1
23	computer	1	1
24	PRP6	3	1
25	computer	8	1
26	computer	2	1
27	PRP4	2	1
28	computer	10	1
29	PRP5	11	1
30	computer	4	1
31	computer	3	1
32	PRP1	4	1
33	computer	9	1
34	PRP5	9	1
35	computer	8	1
36	computer	9	1
