Trial	Proposer_ID	Offer	Anger
1	computer	11	1
2	PRP1	4	2
3	computer	2	4
4	computer	8	1
5	PRP2	2	2
6	PRP3	10	1
7	PRP4	8	1
8	computer	3	2
9	PRP5	3	2
10	PRP1	9	1
11	computer	9	1
12	PRP6	1	3
13	computer	10	1
14	PRP3	11	1
15	PRP1	2	3
16	computer	1	3
17	PRP2	3	2
18	PRP5	4	2
19	computer	4	3
20	computer	9	1
21	PRP6	11	1
22	PRP4	10	1
23	PRP6	8	1
24	computer	11	1
25	PRP2	1	3
26	PRP4	11	1
27	PRP1	11	1
28	PRP3	9	1
29	PRP2	4	2
30	PRP3	8	1
31	PRP5	1	3
32	PRP5	2	3
33	computer	4	2
34	PRP4	9	1
35	PRP6	4	2
36	computer	3	2
