Trial	Proposer_ID	Offer	Anger
1	PRP1	4	3
2	computer	8	2
3	PRP2	9	1
4	PRP3	3	3
5	computer	4	3
6	PRP4	3	3
7	computer	1	5
8	computer	3	2
9	PRP5	11	1
10	computer	1	2
11	PRP2	10	1
12	PRP3	2	3
13	PRP3	4	3
14	computer	2	4
15	PRP1	3	2
16	PRP5	10	1
17	PRP5	8	1
18	PRP1	1	2
19	computer	11	1
20	computer	9	1
21	computer	3	3
22	PRP6	1	2
23	PRP6	4	2
24	PRP6	8	1
25	PRP4	8	1
26	PRP4	9	1
27	computer	9	4
28	computer	10	1
29	PRP3	1	3
30	computer	11	1
31	PRP5	9	1
32	PRP1	2	2
33	PRP4	1	3
34	PRP2	8	1
35	PRP6	11	1
36	PRP2	11	1
