Trial	Proposer_ID	Offer	Anger
1	computer	9	1
2	PRP1	11	1
3	computer	10	1
4	PRP2	9	1
5	computer	3	1
6	PRP3	8	1
7	PRP3	9	1
8	PRP2	2	1
9	PRP3	11	1
10	PRP4	4	1
11	computer	11	1
12	PRP2	11	1
13	computer	4	1
14	PRP1	8	1
15	PRP5	4	1
16	PRP4	2	1
17	PRP4	3	1
18	computer	8	1
19	PRP3	10	1
20	computer	2	1
21	PRP2	3	1
22	PRP5	1	1
23	PRP6	11	1
24	computer	9	1
25	PRP1	1	1
26	PRP5	2	1
27	PRP6	9	1
28	computer	2	1
29	PRP6	10	1
30	PRP4	1	1
31	computer	2	1
32	computer	1	1
33	PRP5	3	1
34	PRP1	4	1
35	PRP6	8	1
36	computer	10	1
