Trial	Proposer_ID	Offer	Anger
1	PRP1	1	1
2	PRP1	4	1
3	computer	4	1
4	computer	10	1
5	PRP2	10	1
6	PRP3	4	1
7	PRP4	3	1
8	computer	10	1
9	PRP5	3	1
10	PRP2	9	1
11	PRP2	8	1
12	computer	2	1
13	computer	4	1
14	computer	9	1
15	computer	11	1
16	PRP5	1	1
17	PRP6	9	1
18	PRP3	3	1
19	PRP1	9	1
20	computer	9	1
21	PRP2	11	1
22	PRP6	10	1
23	PRP3	2	1
24	PRP4	9	1
25	PRP3	1	1
26	PRP5	2	1
27	PRP4	4	1
28	computer	2	1
29	computer	3	1
30	computer	8	1
31	PRP6	11	1
32	PRP5	4	1
33	PRP4	8	1
34	PRP6	8	1
35	computer	1	1
36	PRP1	11	1
