Trial	Proposer_ID	Offer	Anger
1	PRP1	3	2
2	computer	1	2
3	computer	9	1
4	computer	10	1
5	computer	9	1
6	PRP2	9	1
7	computer	9	1
8	PRP3	3	2
9	PRP4	8	1
10	PRP5	8	1
11	PRP2	2	2
12	PRP1	1	3
13	computer	8	1
14	PRP6	1	2
15	PRP4	4	2
16	computer	8	1
17	computer	1	2
18	PRP3	1	2
19	computer	2	2
20	PRP5	2	2
21	PRP6	9	1
22	computer	10	1
23	PRP2	11	1
24	PRP5	10	1
25	computer	2	2
26	computer	8	1
27	computer	2	2
28	PRP4	2	2
29	PRP6	8	1
30	computer	11	1
31	PRP3	10	1
32	PRP1	9	1
33	computer	3	2
34	computer	1	3
35	computer	3	3
36	computer	4	2
