Trial	Proposer_ID	Offer	Anger
1	PRP1	10	1
2	PRP2	8	2
3	PRP3	11	1
4	computer	9	1
5	computer	10	1
6	computer	2	5
7	computer	9	1
8	PRP2	2	5
9	PRP4	2	4
10	computer	3	4
11	computer	1	1
12	computer	2	1
13	PRP4	1	5
14	computer	9	1
15	PRP1	3	3
16	computer	10	1
17	computer	2	5
18	computer	1	5
19	computer	3	5
20	computer	8	1
21	PRP5	9	1
22	PRP2	9	1
23	computer	4	4
24	PRP6	8	1
25	PRP5	8	1
26	PRP4	10	1
27	PRP3	1	5
28	computer	1	5
29	computer	8	1
30	computer	11	1
31	PRP1	4	1
32	PRP6	9	1
33	PRP3	1	5
34	PRP5	3	5
35	computer	8	3
36	PRP6	2	4
