Trial	Proposer_ID	Offer	Anger
1	PRP1	1	5
2	PRP2	10	5
3	computer	11	1
4	computer	8	1
5	PRP3	9	1
6	PRP4	3	5
7	PRP1	4	5
8	PRP5	8	5
9	computer	4	5
10	computer	9	5
11	PRP6	1	5
12	computer	4	5
13	PRP3	11	1
14	PRP2	8	5
15	PRP2	9	1
16	PRP6	11	1
17	PRP4	4	5
18	PRP6	3	1
19	computer	9	5
20	computer	8	5
21	computer	1	1
22	computer	3	1
23	computer	10	1
24	PRP1	2	5
25	PPR2	11	1
26	PRP3	8	1
27	PRP3	10	1
28	PRP4	1	5
29	PPR5	1	5
30	PRP4	2	5
31	PRP5	3	5
32	PRP5	10	1
33	PRP6	8	5
34	computer	2	1
35	computer	3	1
36	PRP1	3	5
