Trial	Proposer_ID	Offer	Anger
1	PRP1	10	1
2	PRP2	11	1
3	computer	4	2
4	PRP3	3	2
5	PRP1	3	2
6	PRP4	2	2
7	PRP3	1	2
8	computer	3	2
9	PRP2	10	1
10	PRP5	11	1
11	computer	1	2
12	PRP2	8	1
13	computer	4	2
14	PRP5	8	1
15	computer	10	1
16	PRP2	9	1
17	computer	8	1
18	computer	2	2
19	PRP4	1	2
20	computer	11	1
21	computer	4	2
22	computer	9	1
23	computer	9	1
24	PRP5	9	1
25	PRP6	11	1
26	computer	8	1
27	PRP6	4	2
28	PRP3	2	2
29	PRP1	8	1
30	PRP1	1	2
31	PRP3	4	2
32	PRP5	10	1
33	PRP4	4	2
34	PRP6	2	2
35	PRP6	9	1
36	PRP4	3	2
