Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	computer	3	1
3	PRP1	1	1
4	PRP2	3	1
5	computer	10	1
6	PRP3	8	1
7	PRP1	4	1
8	PRP3	11	1
9	computer	9	1
10	PRP4	9	1
11	PRP5	4	1
12	PRP5	10	1
13	computer	4	1
14	PRP4	3	1
15	computer	2	1
16	computer	11	1
17	computer	2	1
18	PRP6	11	1
19	PRP3	9	1
20	PRP5	9	1
21	PRP6	8	1
22	PRP5	1	1
23	PRP2	4	1
24	PRP2	2	1
25	computer	1	2
26	PRP4	10	1
27	computer	3	1
28	PRP6	9	1
29	PRP1	3	1
30	computer	8	1
31	PRP6	10	1
32	PRP4	4	1
33	computer	10	1
34	PRP2	1	1
35	computer	8	1
36	PRP3	10	1
