Trial	Proposer_ID	Offer	Anger
1	PRP1	8	1
2	computer	9	1
3	computer	3	5
4	computer	2	5
5	PRP1	11	1
6	PRP2	8	2
7	computer	4	5
8	PPR3	1	5
9	PRP4	3	5
10	PPR4	2	5
11	PRP3	2	5
12	computer	10	1
13	PRP3	9	2
14	PRP5	9	1
15	PRP3	11	1
16	computer	2	5
17	PRP4	1	5
18	PRP6	2	5
19	computer	8	1
20	PRP6	1	5
21	computer	11	1
22	PRP1	9	1
23	PRP5	8	1
24	PRP2	10	1
25	computer	10	1
26	PRP2	11	1
27	PRP2	9	1
28	PRP4	4	5
29	PRP1	10	1
30	computer	2	5
31	PRP5	1	5
32	computer	1	5
33	PRP5	2	5
34	PRP6	4	5
35	computer	8	1
36	PRP6	3	5
