Trial	Proposer_ID	Offer	Anger
1	computer	8	1
2	PRP1	1	1
3	computer	10	1
4	computer	1	1
5	computer	2	1
6	computer	4	1
7	computer	8	1
8	computer	3	1
9	PRP2	1	1
10	PRP3	2	1
11	PRP1	9	1
12	computer	11	1
13	PRP4	4	1
14	PRP4	3	1
15	PRP5	3	1
16	computer	1	1
17	computer	2	1
18	PRP5	10	1
19	PRP6	2	1
20	computer	9	1
21	PRP1	2	1
22	computer	3	1
23	PRP2	9	1
24	computer	10	1
25	PRP2	8	1
26	PRP5	1	1
27	computer	9	1
28	computer	1	1
29	computer	9	1
30	computer	8	1
31	PRP4	10	1
32	computer	2	1
33	PRP3	8	1
34	PRP3	8	1
35	PRP6	9	1
36	PRP6	11	1
