Trial	Proposer_ID	Offer	Anger
1	PRP1	4	1
2	computer	3	1
3	PRP2	11	1
4	PRP3	1	2
5	computer	8	1
6	PRP4	10	1
7	computer	10	1
8	PRP4	1	2
9	PRP5	3	2
10	PRP1	9	1
11	PPR1	3	1
12	computer	9	1
13	computer	10	1
14	PRP3	2	2
15	computer	1	2
16	PRP1	10	1
17	PRP3	3	2
18	PRP2	8	1
19	PRP6	9	1
20	PRP2	10	1
21	computer	2	2
22	PRP5	2	2
23	PRP3	4	2
24	computer	11	1
25	computer	4	1
26	PRP4	2	2
27	computer	3	1
28	PRP6	10	1
29	PRP4	11	1
30	PRP6	8	1
31	PRP5	1	2
32	PRP5	4	2
33	PRP6	11	1
34	PRP2	9	1
35	computer	2	2
36	computer	9	1
