Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	computer	3	1
3	computer	10	1
4	computer	10	1
5	PRP2	10	1
6	PRP3	2	1
7	PRP4	3	1
8	PRP3	8	1
9	computer	9	1
10	PRP5	1	1
11	computer	9	1
12	PRP2	1	1
13	computer	2	1
14	PRP5	9	1
15	computer	1	1
16	PRP4	9	1
17	PRP1	9	1
18	PRP6	4	1
19	PRP4	8	1
20	computer	8	1
21	computer	4	1
22	PRP5	2	1
23	computer	11	1
24	computer	3	1
25	computer	8	1
26	computer	1	1
27	computer	1	1
28	PRP2	1	1
29	computer	2	1
30	computer	8	1
31	computer	2	1
32	PRP6	10	1
33	PRP6	3	1
34	PRP3	11	1
35	PRP1	8	1
36	computer	9	1
