Trial	Proposer_ID	Offer	Anger
1	PRP1	11	1
2	computer	8	1
3	computer	11	1
4	PRP2	1	4
5	PRP3	3	1
6	computer	9	1
7	computer	2	2
8	PRP2	8	1
9	PRP2	4	1
10	computer	3	2
11	PRP4	1	2
12	PRP3	1	1
13	PRP1	9	1
14	PRP5	4	2
15	PRP4	10	1
16	PRP5	3	2
17	PRP2	10	1
18	PRP6	8	2
19	PRP6	11	2
20	PRP4	2	2
21	computer	3	2
22	PRP6	9	2
23	computer	10	1
24	computer	9	1
25	PRP1	10	1
26	PRP6	10	1
27	PRP5	2	2
28	PRP3	2	1
29	PRP1	8	1
30	PRP4	9	1
31	computer	1	2
32	PRP5	1	2
33	computer	9	1
34	PRP3	4	1
35	computer	4	2
36	computer	4	1
