Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	computer	8	1
3	PRP2	9	1
4	computer	3	2
5	computer	2	2
6	computer	10	1
7	computer	1	1
8	PRP2	1	2
9	computer	3	1
10	PRP1	4	2
11	computer	4	1
12	PRP3	8	1
13	computer	1	1
14	computer	9	1
15	computer	11	1
16	computer	2	1
17	PRP3	2	2
18	computer	8	1
19	PRP4	1	2
20	PRP3	2	1
21	PRP5	8	1
22	computer	8	1
23	PRP6	3	2
24	PRP4	3	1
25	PRP5	2	2
26	computer	9	1
27	PRP4	8	1
28	computer	2	1
29	PRP2	11	1
30	computer	10	1
31	computer	1	2
32	PRP5	1	2
33	computer	9	1
34	PRP6	10	1
35	PRP6	10	1
36	PRP1	9	1
