Trial	Proposer_ID	Offer	Anger
1	computer	8	1
2	PRP1	3	1
3	PRP2	8	1
4	computer	10	1
5	computer	1	1
6	computer	3	1
7	computer	11	1
8	PRP3	4	1
9	computer	1	1
10	computer	1	1
11	computer	2	1
12	PRP1	2	1
13	PRP3	1	1
14	computer	9	1
15	PRP4	10	1
16	PRP1	8	1
17	PRP5	9	1
18	PRP5	3	1
19	computer	3	1
20	computer	9	1
21	PRP6	9	1
22	computer	8	1
23	computer	10	1
24	PRP4	10	1
25	PRP5	9	1
26	PRP6	2	1
27	PRP6	8	1
28	PRP4	1	1
29	computer	2	1
30	computer	9	1
31	PRP2	1	1
32	computer	2	1
33	PRP3	11	1
34	PRP2	2	1
35	computer	4	1
36	computer	8	1
