Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	PRP2	8	1
3	PRP3	9	1
4	PRP4	4	1
5	PRP3	2	1
6	PRP5	9	1
7	computer	4	1
8	computer	10	1
9	computer	1	1
10	PRP5	10	1
11	computer	2	1
12	PRP2	3	1
13	PRP1	3	1
14	computer	10	1
15	computer	2	1
16	PRP6	10	1
17	PRP6	11	1
18	PRP2	4	1
19	PRP4	3	1
20	computer	9	1
21	PRP5	11	1
22	PRP6	9	1
23	computer	11	1
24	PRP3	1	1
25	PRP6	8	1
26	computer	8	1
27	PRP1	4	1
28	computer	3	1
29	PRP5	8	1
30	computer	1	1
31	PRP2	9	1
32	PRP4	2	1
33	PRP4	1	1
34	computer	11	1
35	PRP1	1	1
36	PRP3	11	1
