Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	PRP2	1	2
3	PRP1	10	1
4	PRP3	2	1
5	computer	8	2
6	computer	9	2
7	PRP4	3	1
8	computer	3	1
9	PRP5	9	1
10	PRP5	2	1
11	PRP3	8	1
12	PRP6	11	1
13	computer	10	1
14	computer	2	2
15	computer	2	2
16	computer	1	2
17	computer	1	1
18	computer	8	1
19	PRP6	3	1
20	computer	4	1
21	computer	11	1
22	computer	2	1
23	PRP4	9	1
24	PRP6	1	1
25	PRP2	8	1
26	PRP2	8	1
27	computer	9	1
28	computer	8	1
29	computer	1	1
30	PRP5	4	1
31	PRP4	1	1
32	PRP1	10	1
33	computer	10	1
34	computer	9	1
35	PRP3	9	1
36	computer	3	1
