Trial	Proposer_ID	Offer	Anger
1	computer	1	3
2	computer	2	3
3	PRP1	8	1
4	computer	4	3
5	PRP2	3	3
6	PRP3	2	4
7	computer	8	1
8	computer	9	1
9	PRP4	10	1
10	computer	1	4
11	PRP1	9	1
12	PRP5	9	1
13	computer	3	4
14	PRP3	1	4
15	PRP4	9	1
16	PRP5	4	2
17	PRP6	2	3
18	PRP2	11	1
19	computer	3	4
20	PRP4	8	1
21	PRP3	3	3
22	PRP5	8	1
23	computer	8	1
24	computer	10	1
25	PRP6	3	2
26	computer	11	1
27	PRP2	4	3
28	PRP1	10	1
29	PRP2	9	1
30	PRP3	4	2
31	PRP4	11	1
32	PRP6	1	4
33	PRP5	1	5
34	computer	8	1
35	PRP1	11	1
36	PRP6	4	2
