ibi	time	condition	order
997	pre	baseline	1
964	pre	baseline	1
962	pre	baseline	1
983	pre	baseline	1
956	pre	baseline	1
1002	pre	baseline	1
981	pre	baseline	1
991	pre	baseline	1
983	pre	baseline	1
994	pre	baseline	1
989	pre	baseline	1
991	pre	baseline	1
943	pre	baseline	1
962	pre	baseline	1
1010	pre	baseline	1
1002	pre	baseline	1
973	pre	baseline	1
1008	pre	baseline	1
1034	pre	baseline	1
999	pre	baseline	1
991	pre	baseline	1
1002	pre	baseline	1
1005	pre	baseline	1
978	pre	baseline	1
1013	pre	baseline	1
1016	pre	baseline	1
1024	pre	baseline	1
1016	pre	baseline	1
1034	pre	baseline	1
1032	pre	baseline	1
997	pre	baseline	1
991	pre	baseline	1
1005	pre	baseline	1
1024	pre	baseline	1
973	pre	baseline	1
997	pre	baseline	1
1021	pre	baseline	1
999	pre	baseline	1
1021	pre	baseline	1
1021	pre	baseline	1
986	pre	baseline	1
991	pre	baseline	1
1005	pre	baseline	1
956	pre	baseline	1
973	pre	baseline	1
954	pre	baseline	1
929	pre	baseline	1
576	pre	baseline	1
328	pre	baseline	1
1010	pre	baseline	1
999	pre	baseline	1
1010	pre	baseline	1
1018	pre	baseline	1
1002	pre	baseline	1
989	pre	baseline	1
1010	pre	baseline	1
997	pre	baseline	1
1021	pre	baseline	1
986	pre	baseline	1
1005	pre	baseline	1
1026	pre	baseline	1
1010	pre	baseline	1
1048	pre	baseline	1
1026	pre	baseline	1
1067	pre	baseline	1
1040	pre	baseline	1
1032	pre	baseline	1
1016	pre	baseline	1
999	pre	baseline	1
975	pre	baseline	1
994	pre	baseline	1
991	pre	baseline	1
997	pre	baseline	1
1005	pre	baseline	1
1008	pre	baseline	1
1024	pre	baseline	1
962	pre	baseline	1
1018	pre	baseline	1
986	pre	baseline	1
1026	pre	baseline	1
1010	pre	baseline	1
1021	pre	baseline	1
975	pre	baseline	1
999	pre	baseline	1
1010	pre	baseline	1
970	pre	baseline	1
1002	pre	baseline	1
997	pre	baseline	1
1034	pre	baseline	1
1008	pre	baseline	1
1002	pre	baseline	1
1013	pre	baseline	1
1010	pre	baseline	1
1008	pre	baseline	1
975	pre	baseline	1
1008	pre	baseline	1
975	pre	baseline	1
983	pre	baseline	1
908	pre	baseline	1
1048	pre	baseline	1
1002	pre	baseline	1
991	pre	baseline	1
989	pre	baseline	1
991	pre	baseline	1
997	pre	baseline	1
991	pre	baseline	1
956	pre	baseline	1
989	pre	baseline	1
1010	pre	baseline	1
935	pre	baseline	1
956	pre	baseline	1
967	pre	baseline	1
962	pre	baseline	1
983	pre	baseline	1
956	pre	baseline	1
975	pre	baseline	1
973	pre	baseline	1
994	pre	baseline	1
940	pre	baseline	1
970	pre	baseline	1
997	pre	baseline	1
983	pre	baseline	1
999	pre	baseline	1
973	pre	baseline	1
