Trial	Proposer_ID	Offer	Anger
1	PRP1	1	1
2	PRP2	4	1
3	PRP3	2	1
4	computer	8	1
5	computer	10	1
6	PRP3	9	1
7	computer	1	1
8	computer	9	1
9	computer	2	1
10	PRP2	10	1
11	PRP4	9	1
12	PRP2	3	1
13	PRP4	9	1
14	computer	3	1
15	PRP1	8	1
16	computer	8	1
17	PRP3	3	1
18	computer	11	1
19	computer	2	1
20	computer	2	1
21	PRP4	1	3
22	PRP5	2	1
23	computer	10	1
24	PRP5	10	1
25	PRP6	2	1
26	computer	9	1
27	computer	3	1
28	computer	1	1
29	computer	4	1
30	computer	8	1
31	PRP6	8	1
32	computer	1	1
33	computer	9	1
34	PRP1	11	1
35	PRP5	8	1
36	PRP6	1	1
