Trial	Proposer_ID	Offer	Anger
1	PRP1	8	1
2	PRP2	1	1
3	computer	9	1
4	computer	8	1
5	PRP2	3	1
6	PRP3	10	1
7	PRP4	2	1
8	computer	11	1
9	PRP1	9	1
10	PRP5	4	1
11	PRP1	11	1
12	PRP3	3	1
13	PRP5	1	1
14	PRP2	4	1
15	PRP3	11	1
16	PRP1	10	1
17	computer	10	1
18	computer	2	1
19	computer	1	1
20	computer	1	1
21	PRP6	10	1
22	PRP5	3	1
23	PRP2	2	1
24	PRP6	11	1
25	PRP5	2	1
26	computer	3	1
27	PRP4	1	1
28	computer	3	1
29	computer	11	1
30	PRP6	9	1
31	computer	8	1
32	computer	4	1
33	PRP4	8	1
34	PRP3	4	1
35	PRP6	8	1
36	PRP4	11	1
