Trial	Proposer_ID	Offer	Anger
1	PRP1	11	1
2	PRP2	8	1
3	PRP3	2	1
4	computer	8	1
5	PRP2	11	1
6	PRP4	4	1
7	computer	10	1
8	computer	10	1
9	PRP3	4	1
10	PRP2	1	1
11	computer	1	2
12	PRP5	8	1
13	PRP5	9	1
14	PRP2	2	1
15	PRP4	2	2
16	PRP6	11	1
17	PRP5	3	1
18	PRP1	9	1
19	PRP4	1	2
20	PRP3	3	1
21	PRP1	10	1
22	PRP3	1	2
23	PRP4	3	1
24	computer	9	1
25	PRP6	9	1
26	computer	3	1
27	PRP6	10	1
28	computer	11	1
29	computer	4	1
30	computer	9	1
31	computer	4	1
32	computer	2	2
33	PRP5	2	1
34	PRP6	8	1
35	computer	1	2
36	PRP1	8	1
