Trial	Proposer_ID	Offer	Anger
1	computer	11	1
2	PRP1	9	1
3	PRP2	10	1
4	PRP3	1	3
5	computer	2	4
6	PRP4	10	1
7	computer	11	1
8	PRP1	8	1
9	computer	4	2
10	computer	10	1
11	computer	2	3
12	computer	1	4
13	PRP3	4	3
14	computer	11	1
15	PRP2	8	1
16	computer	2	3
17	PRP5	3	2
18	PRP1	11	1
19	PRP6	3	2
20	PRP1	10	1
21	computer	9	1
22	PRP5	4	2
23	PRP4	2	3
24	computer	3	3
25	PRP5	2	3
26	PRP4	4	3
27	PRP3	3	3
28	PRP6	9	1
29	PRP2	11	1
30	computer	8	1
31	PRP6	11	1
32	PRP2	9	1
33	PRP5	1	3
34	PRP4	9	1
35	PRP6	1	3
36	PRP3	2	3
