Trial	Proposer_ID	Offer	Anger
1	PRP1	2	2
2	PRP1	1	2
3	PRP2	11	1
4	computer	2	2
5	PRP3	4	1
6	computer	8	1
7	PRP2	10	1
8	PRP4	1	2
9	PRP4	8	1
10	PRP5	9	1
11	PRP3	1	3
12	computer	11	1
13	computer	1	4
14	PRP4	10	1
15	PRP6	11	1
16	computer	11	1
17	PRP4	2	2
18	PRP5	11	1
19	PRP3	2	3
20	computer	4	2
21	PRP5	2	2
22	PRP1	4	2
23	computer	1	5
24	PRP6	8	1
25	PRP6	10	1
26	PRP5	3	2
27	PRP6	9	1
28	computer	3	2
29	PRP2	9	1
30	computer	8	1
31	PRP3	3	2
32	PRP2	8	1
33	computer	9	1
34	PRP1	3	2
35	computer	10	1
36	computer	2	3
