ibi	time	condition	order
975	2	baseline	1
983	2	baseline	1
975	2	baseline	1
892	2	baseline	1
967	2	baseline	1
1002	2	baseline	1
1043	2	baseline	1
940	2	baseline	1
811	2	baseline	1
927	2	baseline	1
1048	2	baseline	1
1040	2	baseline	1
921	2	baseline	1
735	2	baseline	1
803	2	baseline	1
908	2	baseline	1
1078	2	baseline	1
1061	2	baseline	1
978	2	baseline	1
805	2	baseline	1
781	2	baseline	1
795	2	baseline	1
867	2	baseline	1
956	2	baseline	1
997	2	baseline	1
892	2	baseline	1
797	2	baseline	1
840	2	baseline	1
937	2	baseline	1
1018	2	baseline	1
1051	2	baseline	1
1021	2	baseline	1
862	2	baseline	1
762	2	baseline	1
768	2	baseline	1
719	2	baseline	1
843	2	baseline	1
983	2	baseline	1
1016	2	baseline	1
1037	2	baseline	1
1034	2	baseline	1
1010	2	baseline	1
1032	2	baseline	1
983	2	baseline	1
811	2	baseline	1
870	2	baseline	1
956	2	baseline	1
1059	2	baseline	1
1048	2	baseline	1
986	2	baseline	1
1021	2	baseline	1
1043	2	baseline	1
989	2	baseline	1
862	2	baseline	1
776	2	baseline	1
846	2	baseline	1
948	2	baseline	1
1026	2	baseline	1
846	2	baseline	1
814	2	baseline	1
797	2	baseline	1
792	2	baseline	1
921	2	baseline	1
1002	2	baseline	1
951	2	baseline	1
862	2	baseline	1
884	2	baseline	1
935	2	baseline	1
991	2	baseline	1
929	2	baseline	1
819	2	baseline	1
832	2	baseline	1
878	2	baseline	1
827	2	baseline	1
808	2	baseline	1
717	2	baseline	1
649	2	baseline	1
727	2	baseline	1
719	2	baseline	1
781	2	baseline	1
870	2	baseline	1
892	2	baseline	1
803	2	baseline	1
760	2	baseline	1
827	2	baseline	1
911	2	baseline	1
937	2	baseline	1
905	2	baseline	1
830	2	baseline	1
749	2	baseline	1
708	2	baseline	1
676	2	baseline	1
797	2	baseline	1
927	2	baseline	1
862	2	baseline	1
865	2	baseline	1
827	2	baseline	1
805	2	baseline	1
754	2	baseline	1
752	2	baseline	1
797	2	baseline	1
897	2	baseline	1
994	2	baseline	1
983	2	baseline	1
902	2	baseline	1
805	2	baseline	1
832	2	baseline	1
857	2	baseline	1
857	2	baseline	1
846	2	baseline	1
776	2	baseline	1
797	2	baseline	1
768	2	baseline	1
819	2	baseline	1
876	2	baseline	1
916	2	baseline	1
900	2	baseline	1
900	2	baseline	1
859	2	baseline	1
792	2	baseline	1
792	2	baseline	1
849	2	baseline	1
892	2	baseline	1
849	2	baseline	1
822	2	baseline	1
719	2	baseline	1
792	2	baseline	1
822	2	baseline	1
873	2	baseline	1
876	2	baseline	1
921	2	baseline	1
873	2	baseline	1
843	2	baseline	1
835	2	baseline	1
857	2	baseline	1
835	2	baseline	1
865	2	baseline	1
857	2	baseline	1
865	2	baseline	1
854	2	baseline	1
859	2	baseline	1
857	2	baseline	1
857	2	baseline	1
781	2	baseline	1
708	2	baseline	1
746	2	baseline	1
811	2	baseline	1
924	2	baseline	1
956	2	baseline	1
924	2	baseline	1
905	2	baseline	1
867	2	baseline	1
929	2	baseline	1
929	2	baseline	1
849	2	baseline	1
762	2	baseline	1
797	2	baseline	1
814	2	baseline	1
892	2	baseline	1
913	2	baseline	1
921	2	baseline	1
911	2	baseline	1
873	2	baseline	1
797	2	baseline	1
803	2	baseline	1
827	2	baseline	1
870	2	baseline	1
940	2	baseline	1
967	2	baseline	1
986	2	baseline	1
1013	2	baseline	1
962	2	baseline	1
824	2	baseline	1
741	2	baseline	1
770	2	baseline	1
787	2	baseline	1
943	2	baseline	1
991	2	baseline	1
1016	2	baseline	1
1008	2	baseline	1
892	2	baseline	1
792	2	baseline	1
857	2	baseline	1
854	2	baseline	1
797	2	baseline	1
722	2	baseline	1
795	2	baseline	1
900	2	baseline	1
849	2	baseline	1
733	2	baseline	1
781	2	baseline	1
857	2	baseline	1
1002	2	baseline	1
1005	2	baseline	1
865	2	baseline	1
827	2	baseline	1
870	2	baseline	1
956	2	baseline	1
1002	2	baseline	1
962	2	baseline	1
873	2	baseline	1
784	2	baseline	1
886	2	baseline	1
951	2	baseline	1
1013	2	baseline	1
900	2	baseline	1
956	2	baseline	1
1034	2	baseline	1
1061	2	baseline	1
1051	2	baseline	1
1021	2	baseline	1
889	2	baseline	1
784	2	baseline	1
854	2	baseline	1
981	2	baseline	1
1018	2	baseline	1
1018	2	baseline	1
884	2	baseline	1
819	2	baseline	1
946	2	baseline	1
981	2	baseline	1
784	2	baseline	1
814	2	baseline	1
889	2	baseline	1
991	2	baseline	1
983	2	baseline	1
902	2	baseline	1
792	2	baseline	1
757	2	baseline	1
811	2	baseline	1
881	2	baseline	1
970	2	baseline	1
978	2	baseline	1
1029	2	baseline	1
1018	2	baseline	1
989	2	baseline	1
986	2	baseline	1
897	2	baseline	1
811	2	baseline	1
811	2	baseline	1
894	2	baseline	1
970	2	baseline	1
981	2	baseline	1
999	2	baseline	1
983	2	baseline	1
894	2	baseline	1
884	2	baseline	1
932	2	baseline	1
932	2	baseline	1
927	2	baseline	1
959	2	baseline	1
900	2	baseline	1
959	2	baseline	1
967	2	baseline	1
986	2	baseline	1
876	2	baseline	1
838	2	baseline	1
886	2	baseline	1
986	2	baseline	1
1013	2	baseline	1
943	2	baseline	1
921	2	baseline	1
1008	2	baseline	1
1013	2	baseline	1
954	2	baseline	1
797	2	baseline	1
835	2	baseline	1
854	2	baseline	1
935	2	baseline	1
870	2	baseline	1
762	2	baseline	1
824	2	baseline	1
970	2	baseline	1
1021	2	baseline	1
940	2	baseline	1
805	2	baseline	1
862	2	baseline	1
889	2	baseline	1
911	2	baseline	1
835	2	baseline	1
830	2	baseline	1
900	2	baseline	1
876	2	baseline	1
865	2	baseline	1
781	2	baseline	1
795	2	baseline	1
803	2	baseline	1
814	2	baseline	1
770	2	baseline	1
722	2	baseline	1
652	2	baseline	1
636	2	baseline	1
711	2	baseline	1
644	2	baseline	1
706	2	baseline	1
749	2	baseline	1
760	2	baseline	1
840	2	baseline	1
741	2	baseline	1
749	2	baseline	1
743	2	baseline	1
784	2	baseline	1
773	2	baseline	1
770	2	baseline	1
738	2	baseline	1
741	2	baseline	1
773	2	baseline	1
897	2	baseline	1
1021	2	baseline	1
999	2	baseline	1
846	2	baseline	1
832	2	baseline	1
819	2	baseline	1
889	2	baseline	1
814	2	baseline	1
838	2	baseline	1
746	2	baseline	1
741	2	baseline	1
668	2	baseline	1
800	2	baseline	1
870	2	baseline	1
862	2	baseline	1
819	2	baseline	1
735	2	baseline	1
770	2	baseline	1
800	2	baseline	1
854	2	baseline	1
956	2	baseline	1
889	2	baseline	1
835	2	baseline	1
776	2	baseline	1
789	2	baseline	1
760	2	baseline	1
719	2	baseline	1
717	2	baseline	1
708	2	baseline	1
768	2	baseline	1
811	2	baseline	1
873	2	baseline	1
884	2	baseline	1
900	2	baseline	1
865	2	baseline	1
849	2	baseline	1
908	2	baseline	1
878	2	baseline	1
894	2	baseline	1
811	2	baseline	1
757	2	baseline	1
698	2	baseline	1
735	2	baseline	1
752	2	baseline	1
730	2	baseline	1
779	2	baseline	1
784	2	baseline	1
830	2	baseline	1
803	2	baseline	1
779	2	baseline	1
768	2	baseline	1
738	2	baseline	1
757	2	baseline	1
738	2	baseline	1
727	2	baseline	1
746	2	baseline	1
749	2	baseline	1
814	2	baseline	1
781	2	baseline	1
706	2	baseline	1
706	2	baseline	1
784	2	baseline	1
776	2	baseline	1
830	2	baseline	1
776	2	baseline	1
741	2	baseline	1
711	2	closing_eyes	2
719	2	closing_eyes	2
773	2	closing_eyes	2
902	2	closing_eyes	2
932	2	closing_eyes	2
881	2	closing_eyes	2
727	2	closing_eyes	2
741	2	closing_eyes	2
708	2	closing_eyes	2
743	2	closing_eyes	2
660	2	closing_eyes	2
665	2	closing_eyes	2
652	2	closing_eyes	2
598	2	closing_eyes	2
641	2	closing_eyes	2
617	2	closing_eyes	2
593	2	closing_eyes	2
614	2	closing_eyes	2
593	2	closing_eyes	2
628	2	closing_eyes	2
628	2	closing_eyes	2
646	2	closing_eyes	2
768	2	closing_eyes	2
878	2	closing_eyes	2
940	2	closing_eyes	2
929	2	closing_eyes	2
889	2	closing_eyes	2
843	2	closing_eyes	2
884	2	closing_eyes	2
970	2	closing_eyes	2
997	2	closing_eyes	2
830	2	closing_eyes	2
784	2	closing_eyes	2
768	2	closing_eyes	2
832	2	closing_eyes	2
1026	2	closing_eyes	2
1067	2	closing_eyes	2
1051	2	closing_eyes	2
986	2	closing_eyes	2
989	2	closing_eyes	2
1053	2	closing_eyes	2
1051	2	closing_eyes	2
1070	2	closing_eyes	2
1013	2	closing_eyes	2
1048	2	closing_eyes	2
1088	2	closing_eyes	2
1118	2	closing_eyes	2
1083	2	closing_eyes	2
1034	2	closing_eyes	2
1080	2	closing_eyes	2
1091	2	closing_eyes	2
1029	2	closing_eyes	2
986	2	closing_eyes	2
892	2	closing_eyes	2
792	2	closing_eyes	2
719	2	closing_eyes	2
684	2	closing_eyes	2
722	2	closing_eyes	2
805	2	closing_eyes	2
1142	2	closing_eyes	2
1051	2	closing_eyes	2
1099	2	closing_eyes	2
1088	2	closing_eyes	2
913	2	closing_eyes	2
835	2	closing_eyes	2
908	2	closing_eyes	2
1078	2	closing_eyes	2
1048	2	closing_eyes	2
932	2	closing_eyes	2
932	2	closing_eyes	2
1061	2	closing_eyes	2
1099	2	closing_eyes	2
1091	2	closing_eyes	2
997	2	closing_eyes	2
1051	2	closing_eyes	2
1110	2	closing_eyes	2
1102	2	closing_eyes	2
1021	2	closing_eyes	2
1013	2	closing_eyes	2
1086	2	closing_eyes	2
1008	2	closing_eyes	2
889	2	closing_eyes	2
851	2	closing_eyes	2
838	2	closing_eyes	2
819	2	closing_eyes	2
978	2	closing_eyes	2
929	2	closing_eyes	2
838	2	closing_eyes	2
787	2	closing_eyes	2
746	2	closing_eyes	2
730	2	closing_eyes	2
808	2	closing_eyes	2
916	2	closing_eyes	2
967	2	closing_eyes	2
978	2	closing_eyes	2
902	2	closing_eyes	2
867	2	closing_eyes	2
948	2	closing_eyes	2
989	2	closing_eyes	2
975	2	closing_eyes	2
876	2	closing_eyes	2
795	2	closing_eyes	2
921	2	closing_eyes	2
997	2	closing_eyes	2
1034	2	closing_eyes	2
981	2	closing_eyes	2
937	2	closing_eyes	2
1013	2	closing_eyes	2
1045	2	closing_eyes	2
1048	2	closing_eyes	2
983	2	closing_eyes	2
951	2	closing_eyes	2
1013	2	closing_eyes	2
1021	2	closing_eyes	2
1008	2	closing_eyes	2
964	2	closing_eyes	2
946	2	closing_eyes	2
1026	2	closing_eyes	2
1040	2	closing_eyes	2
878	2	closing_eyes	2
776	2	closing_eyes	2
700	2	closing_eyes	2
663	2	closing_eyes	2
717	2	closing_eyes	2
862	2	closing_eyes	2
937	2	closing_eyes	2
916	2	closing_eyes	2
824	2	closing_eyes	2
937	2	closing_eyes	2
1005	2	closing_eyes	2
978	2	closing_eyes	2
937	2	closing_eyes	2
851	2	closing_eyes	2
897	2	closing_eyes	2
843	2	closing_eyes	2
816	2	closing_eyes	2
800	2	closing_eyes	2
779	2	closing_eyes	2
762	2	closing_eyes	2
865	2	closing_eyes	2
964	2	closing_eyes	2
900	2	closing_eyes	2
846	2	closing_eyes	2
892	2	closing_eyes	2
967	2	closing_eyes	2
1029	2	closing_eyes	2
1005	2	closing_eyes	2
886	2	closing_eyes	2
851	2	closing_eyes	2
894	2	closing_eyes	2
905	2	closing_eyes	2
835	2	closing_eyes	2
808	2	closing_eyes	2
757	2	closing_eyes	2
725	2	closing_eyes	2
789	2	closing_eyes	2
956	2	closing_eyes	2
989	2	closing_eyes	2
951	2	closing_eyes	2
951	2	closing_eyes	2
999	2	closing_eyes	2
1010	2	closing_eyes	2
935	2	closing_eyes	2
843	2	closing_eyes	2
929	2	closing_eyes	2
978	2	closing_eyes	2
951	2	closing_eyes	2
881	2	closing_eyes	2
916	2	closing_eyes	2
959	2	closing_eyes	2
991	2	closing_eyes	2
948	2	closing_eyes	2
973	2	closing_eyes	2
1045	2	closing_eyes	2
1070	2	closing_eyes	2
1029	2	closing_eyes	2
973	2	closing_eyes	2
973	2	closing_eyes	2
989	2	closing_eyes	2
1024	2	closing_eyes	2
991	2	closing_eyes	2
951	2	closing_eyes	2
1005	2	closing_eyes	2
1029	2	closing_eyes	2
986	2	closing_eyes	2
913	2	closing_eyes	2
827	2	closing_eyes	2
838	2	closing_eyes	2
921	2	closing_eyes	2
1005	2	closing_eyes	2
1056	2	closing_eyes	2
956	2	closing_eyes	2
865	2	closing_eyes	2
951	2	closing_eyes	2
1008	2	closing_eyes	2
1043	2	closing_eyes	2
983	2	closing_eyes	2
892	2	closing_eyes	2
846	2	closing_eyes	2
935	2	closing_eyes	2
959	2	closing_eyes	2
978	2	closing_eyes	2
1026	2	closing_eyes	2
946	2	closing_eyes	2
840	2	closing_eyes	2
752	2	closing_eyes	2
708	2	closing_eyes	2
733	2	closing_eyes	2
754	2	closing_eyes	2
743	2	closing_eyes	2
754	2	closing_eyes	2
749	2	closing_eyes	2
741	2	closing_eyes	2
765	2	closing_eyes	2
752	2	closing_eyes	2
784	2	closing_eyes	2
814	2	closing_eyes	2
808	2	closing_eyes	2
787	2	closing_eyes	2
832	2	closing_eyes	2
800	2	closing_eyes	2
757	2	closing_eyes	2
765	2	closing_eyes	2
789	2	closing_eyes	2
811	2	closing_eyes	2
816	2	closing_eyes	2
822	2	closing_eyes	2
770	2	closing_eyes	2
746	2	closing_eyes	2
727	2	closing_eyes	2
743	2	closing_eyes	2
819	2	closing_eyes	2
884	2	closing_eyes	2
932	2	closing_eyes	2
905	2	closing_eyes	2
849	2	closing_eyes	2
840	2	closing_eyes	2
865	2	closing_eyes	2
862	2	closing_eyes	2
814	2	closing_eyes	2
816	2	closing_eyes	2
827	2	closing_eyes	2
867	2	closing_eyes	2
935	2	closing_eyes	2
948	2	closing_eyes	2
865	2	closing_eyes	2
876	2	closing_eyes	2
894	2	closing_eyes	2
878	2	closing_eyes	2
816	2	closing_eyes	2
749	2	closing_eyes	2
822	2	closing_eyes	2
857	2	closing_eyes	2
873	2	closing_eyes	2
797	2	closing_eyes	2
722	2	closing_eyes	2
781	2	closing_eyes	2
824	2	closing_eyes	2
862	2	closing_eyes	2
824	2	closing_eyes	2
754	2	closing_eyes	2
795	2	closing_eyes	2
835	2	closing_eyes	2
859	2	closing_eyes	2
800	2	closing_eyes	2
773	2	closing_eyes	2
803	2	closing_eyes	2
838	2	closing_eyes	2
1266	2	closing_eyes	2
773	2	closing_eyes	2
1137	2	closing_eyes	2
733	2	closing_eyes	2
