Trial	Proposer_ID	Offer	Anger
1	PRP1	8	2
2	computer	2	5
3	PRP1	2	5
4	computer	4	4
5	PRP2	1	5
6	PRP3	9	1
7	computer	8	1
8	PRP4	3	4
9	computer	8	1
10	computer	10	1
11	computer	2	5
12	computer	10	1
13	PRP4	2	5
14	PRP3	2	5
15	PRP5	11	1
16	PRP2	8	1
17	computer	11	1
18	computer	1	5
19	PRP6	9	1
20	PRP5	3	4
21	computer	9	1
22	computer	1	5
23	computer	3	4
24	computer	3	4
25	computer	9	1
26	PRP4	8	1
27	computer	8	1
28	PRP3	1	5
29	PRP5	10	1
30	computer	9	1
31	PRP6	1	5
32	computer	1	5
33	computer	2	5
34	PRP6	10	1
35	PRP2	9	1
36	PRP1	4	4
