Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	PRP2	9	1
3	computer	9	1
4	PRP3	4	1
5	computer	10	1
6	computer	2	1
7	computer	2	1
8	PRP4	8	1
9	PRP5	10	1
10	PRP1	4	1
11	PRP6	10	1
12	PRP1	3	1
13	PRP6	9	1
14	PRP6	11	1
15	PRP3	3	1
16	PRP5	11	1
17	PRP4	9	1
18	PRP5	3	1
19	PRP3	1	1
20	PRP1	1	1
21	PRP4	2	1
22	PRP3	2	1
23	computer	10	1
24	computer	1	1
25	computer	9	1
26	computer	8	1
27	PRP2	10	1
28	computer	4	1
29	computer	3	1
30	PRP2	8	1
31	PRP4	4	1
32	PRP2	11	1
33	computer	1	1
34	PRP5	4	1
35	PRP6	8	1
36	computer	11	1
