Trial	Proposer_ID	Offer	Anger
1	computer	10	1
2	computer	8	1
3	PRP1	1	1
4	computer	9	1
5	computer	2	2
6	PRP2	1	1
7	PRP3	8	1
8	PRP3	2	2
9	computer	11	1
10	computer	1	3
11	computer	10	1
12	PRP3	8	1
13	computer	1	3
14	computer	8	1
15	PRP4	2	2
16	PRP5	4	2
17	PRP6	9	1
18	PRP4	9	1
19	computer	3	2
20	computer	9	1
21	computer	9	1
22	PRP5	8	1
23	PRP2	10	1
24	PRP6	9	1
25	PRP4	1	4
26	PRP6	3	1
27	computer	2	2
28	computer	3	2
29	computer	1	3
30	PRP1	2	1
31	computer	2	2
32	computer	8	1
33	PRP1	10	1
34	PRP5	3	2
35	PRP2	11	1
36	computer	4	1
