Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	PRP2	1	1
3	PRP2	4	1
4	computer	4	1
5	computer	1	1
6	PRP3	9	1
7	PRP4	11	1
8	computer	10	1
9	PRP3	4	1
10	PRP5	2	1
11	PRP3	8	1
12	computer	10	1
13	computer	4	1
14	PRP1	8	1
15	PRP6	8	1
16	PRP6	3	1
17	PRP4	8	1
18	PRP1	10	1
19	computer	2	1
20	computer	4	1
21	PRP1	11	1
22	PRP4	10	1
23	PRP4	9	1
24	PRP2	3	1
25	PRP5	3	1
26	PRP6	10	1
27	PRP3	3	1
28	computer	8	1
29	computer	9	1
30	PRP2	2	1
31	computer	11	1
32	computer	8	1
33	PRP5	1	1
34	PRP6	1	1
35	computer	3	1
36	PRP5	4	1
