Trial	Proposer_ID	Offer	Anger
1	PRP1	8	1
2	PRP2	8	1
3	PRP3	3	2
4	computer	8	1
5	computer	11	1
6	computer	10	1
7	PRP4	1	2
8	computer	4	1
9	PRP5	3	1
10	PRP3	2	2
11	PRP5	4	1
12	PRP6	9	1
13	computer	4	1
14	PRP1	10	1
15	computer	3	1
16	computer	2	1
17	PRP1	9	1
18	PRP4	2	2
19	computer	8	1
20	PRP2	3	2
21	PRP6	8	1
22	PRP6	10	1
23	PRP5	2	2
24	PRP4	9	1
25	PRP2	4	2
26	PRP3	4	2
27	PRP4	11	1
28	computer	2	1
29	computer	9	1
30	computer	10	1
31	PPR6	11	1
32	PRP1	11	1
33	PRP3	1	2
34	PRP2	9	1
35	computer	1	1
36	PRP5	1	2
