Trial	Proposer_ID	Offer	Anger
1	PRP1	4	1
2	computer	4	1
3	PRP2	3	1
4	computer	9	1
5	PRP3	9	1
6	PRP1	2	1
7	PRP3	8	1
8	PRP2	8	1
9	computer	3	1
10	PRP4	2	1
11	PRP1	3	1
12	PRP5	11	1
13	PRP5	1	1
14	PRP4	1	1
15	computer	8	1
16	computer	2	1
17	PRP3	11	1
18	computer	11	1
19	PRP4	3	1
20	PRP5	3	1
21	PRP6	11	1
22	computer	1	1
23	PRP6	10	1
24	PRP6	8	1
25	computer	11	1
26	PRP6	9	1
27	computer	10	1
28	computer	8	1
29	computer	3	1
30	PRP5	10	1
31	PRP4	4	1
32	PRP3	10	1
33	computer	3	1
34	PRP2	10	1
35	PRP1	1	1
36	PRP2	1	1
