Trial	Proposer_ID	Offer	Anger
1	PRP1	9	1
2	computer	2	3
3	computer	11	1
4	PRP2	11	1
5	computer	3	1
6	computer	9	2
7	PRP1	8	3
8	PRP3	9	2
9	PRP3	8	2
10	PRP4	10	1
11	PRP2	3	3
12	PRP4	11	1
13	PRP6	2	3
14	PRP4	9	3
15	computer	1	4
16	PRP5	4	3
17	computer	10	3
18	computer	10	5
19	PRP1	4	3
20	computer	11	3
21	PRP2	8	3
22	computer	3	2
23	PRP5	3	3
24	PRP5	1	4
25	computer	8	2
26	PRP3	10	1
27	PRP6	1	4
28	PRP3	11	1
29	PRP1	2	1
30	PRP6	4	5
31	PRP5	2	4
32	computer	2	2
33	PRP6	3	5
34	PRP4	8	3
35	PRP2	2	3
36	computer	4	2
