Trial	Proposer_ID	Offer	Anger
1	PRP1	2	1
2	PRP2	4	1
3	PRP3	10	1
4	computer	10	1
5	computer	8	1
6	PRP4	4	1
7	PRP3	8	1
8	computer	9	1
9	PRP5	2	1
10	PRP1	1	1
11	computer	2	1
12	PRP2	3	1
13	PRP6	8	1
14	PRP6	9	1
15	PRP3	11	1
16	PRP5	3	1
17	PRP2	2	1
18	PRP1	3	1
19	computer	11	1
20	PRP3	9	1
21	computer	9	1
22	PRP4	1	1
23	computer	2	1
24	computer	3	1
25	PRP6	11	1
26	PRP6	10	1
27	PRP4	10	1
28	PRP4	11	1
29	PRP1	4	1
30	PRP5	10	1
31	PRP5	9	1
32	PRP2	1	1
33	computer	4	1
34	computer	11	1
35	computer	4	1
36	computer	1	1
