Trial	Proposer_ID	Offer	Anger
1	PRP1	4	3
2	PRP2	8	1
3	computer	9	1
4	PRP3	8	1
5	computer	1	1
6	PRP1	2	3
7	computer	3	1
8	computer	8	1
9	computer	4	1
10	PRP1	3	3
11	PRP4	2	4
12	PRP2	2	1
13	PRP4	9	1
14	PRP5	8	1
15	PRP6	1	5
16	PRP6	4	5
17	PRP4	3	4
18	PRP5	9	1
19	computer	9	1
20	computer	2	1
21	PRP5	11	1
22	PRP4	10	1
23	PRP3	9	1
24	PRP6	3	5
25	PRP3	10	1
26	computer	1	1
27	computer	3	1
28	PRP5	10	1
29	PRP2	10	1
30	computer	10	1
31	computer	9	1
32	PRP6	2	5
33	PRP2	1	5
34	PRP1	1	3
35	PRP3	11	1
36	computer	11	1
