Trial	Proposer_ID	Offer	Anger
1	PRP1	1	1
2	PRP2	8	1
3	computer	3	1
4	PRP1	4	1
5	computer	10	1
6	PRP3	2	1
7	PRP4	3	1
8	PRP3	11	1
9	PRP5	1	1
10	computer	3	1
11	PRP3	1	1
12	PRP5	3	1
13	PRP6	11	1
14	PRP2	10	1
15	PRP1	3	1
16	computer	4	1
17	PRP2	9	1
18	computer	10	1
19	PRP4	4	1
20	PRP6	9	1
21	computer	8	1
22	computer	9	1
23	PRP2	11	1
24	computer	9	1
25	PRP5	4	1
26	PRP4	11	1
27	PRP4	8	1
28	computer	1	1
29	computer	11	1
30	PRP6	8	1
31	PRP5	2	1
32	computer	4	1
33	PRP1	2	1
34	PRP6	10	1
35	computer	2	1
36	PRP3	10	1
