Trial	Proposer_ID	Offer	Anger
1	computer	10	1
2	PRP1	10	1
3	computer	11	1
4	PRP2	2	4
5	PRP3	9	1
6	PRP1	8	1
7	PRP4	11	1
8	PRP5	2	4
9	PRP6	9	1
10	computer	4	3
11	PRP1	11	1
12	computer	8	1
13	computer	1	5
14	PRP4	8	1
15	PRP2	1	5
16	computer	3	3
17	PRP4	3	2
18	PRP1	9	1
19	PRP5	4	3
20	PRP5	1	5
21	computer	9	1
22	PRP4	4	2
23	PRP5	3	3
24	PRP3	4	2
25	computer	10	1
26	PRP3	3	2
27	PRP2	3	4
28	computer	2	1
29	PRP6	11	1
30	computer	10	1
31	PRP3	10	1
32	computer	2	4
33	PRP6	10	1
34	computer	3	3
35	PRP2	4	3
36	PRP6	8	1
