Trial	Proposer_ID	Offer	Anger
1	PRP1	10	1
2	PRP2	2	4
3	computer	1	4
4	PRP3	10	1
5	computer	11	1
6	PRP2	11	1
7	PRP2	8	1
8	PRP3	11	1
9	computer	2	4
10	computer	4	4
11	PRP1	8	1
12	PRP4	8	1
13	PRP5	4	4
14	PRP1	2	3
15	computer	8	1
16	PRP6	3	4
17	PRP6	1	4
18	computer	4	4
19	PRP3	8	1
20	PRP3	9	1
21	PRP4	10	1
22	PRP6	2	4
23	PRP1	4	3
24	PRP5	3	4
25	computer	9	1
26	computer	10	1
27	computer	3	4
28	PRP2	3	4
29	computer	3	4
30	PRP6	4	4
31	PRP5	1	4
32	PRP5	2	4
33	PRP4	9	1
34	PRP4	11	1
35	computer	8	1
36	computer	11	1
