Trial	Proposer_ID	Offer	Anger
1	PRP1	2	2
2	computer	1	2
3	PRP2	3	4
4	PRP3	8	1
5	PRP4	10	2
6	PRP5	3	4
7	PRP6	10	1
8	computer	1	2
9	PRP6	3	3
10	PRP3	11	1
11	PRP4	8	1
12	computer	8	3
13	computer	10	1
14	PRP3	10	1
15	PRP5	4	4
16	PRP2	4	4
17	PRP3	9	1
18	computer	1	3
19	PRP5	2	4
20	computer	10	2
21	PRP4	11	1
22	computer	4	3
23	PRP5	1	4
24	computer	3	2
25	PRP2	2	5
26	PRP6	11	2
27	PRP2	1	5
28	PRP1	10	2
29	PRP6	1	4
30	PRP1	9	2
31	computer	8	2
32	computer	2	3
33	PRP1	1	4
34	PRP4	9	1
35	computer	11	2
36	computer	9	2
